"com_code","com_annee","com_type","popleg_annee","popleg_mun","popleg_a_part","popleg_tot","popleg_date_maj"
"01203","2022","COM","2020","1306","30","1336","2023-01-02"
"01204","2022","COM","2020","746","16","762","2023-01-02"
"01206","2022","COM","2020","274","6","280","2023-01-02"
"01207","2022","COM","2020","314","12","326","2023-01-02"
"01208","2022","COM","2020","135","1","136","2023-01-02"
"01209","2022","COM","2020","796","16","812","2023-01-02"
"01210","2022","COM","2020","231","4","235","2023-01-02"
"01211","2022","COM","2020","1397","39","1436","2023-01-02"
"01212","2022","COM","2020","712","8","720","2023-01-02"
"01213","2022","COM","2020","1332","29","1361","2023-01-02"
"01214","2022","COM","2020","161","5","166","2023-01-02"
"01215","2022","COM","2020","143","2","145","2023-01-02"
"01216","2022","COM","2020","893","21","914","2023-01-02"
"01219","2022","COM","2020","162","4","166","2023-01-02"
"01224","2022","COM","2020","3296","28","3324","2023-01-02"
"01225","2022","COM","2020","383","15","398","2023-01-02"
"01227","2022","COM","2020","642","12","654","2023-01-02"
"01228","2022","COM","2020","668","14","682","2023-01-02"
"01229","2022","COM","2020","1226","22","1248","2023-01-02"
"01230","2022","COM","2020","310","7","317","2023-01-02"
"01231","2022","COM","2020","1948","49","1997","2023-01-02"
"01232","2022","COM","2020","2275","44","2319","2023-01-02"
"01233","2022","COM","2020","130","2","132","2023-01-02"
"01234","2022","COM","2020","167","3","170","2023-01-02"
"01235","2022","COM","2020","1179","87","1266","2023-01-02"
"01236","2022","COM","2020","1021","29","1050","2023-01-02"
"01237","2022","COM","2020","1674","66","1740","2023-01-02"
"01238","2022","COM","2020","2709","58","2767","2023-01-02"
"01239","2022","COM","2020","631","9","640","2023-01-02"
"01240","2022","COM","2020","628","18","646","2023-01-02"
"01241","2022","COM","2020","1379","35","1414","2023-01-02"
"01242","2022","COM","2020","136","2","138","2023-01-02"
"01243","2022","COM","2020","1262","37","1299","2023-01-02"
"01244","2022","COM","2020","7998","143","8141","2023-01-02"
"01245","2022","COM","2020","950","21","971","2023-01-02"
"01246","2022","COM","2020","2204","40","2244","2023-01-02"
"01247","2022","COM","2020","299","13","312","2023-01-02"
"01248","2022","COM","2020","2245","54","2299","2023-01-02"
"01249","2022","COM","2020","10202","153","10355","2023-01-02"
"01250","2022","COM","2020","1979","270","2249","2023-01-02"
"01252","2022","COM","2020","796","23","819","2023-01-02"
"01254","2022","COM","2020","2142","51","2193","2023-01-02"
"01255","2022","COM","2020","651","11","662","2023-01-02"
"01257","2022","COM","2020","351","10","361","2023-01-02"
"01258","2022","COM","2020","1194","22","1216","2023-01-02"
"01259","2022","COM","2020","708","16","724","2023-01-02"
"01260","2022","COM","2020","304","5","309","2023-01-02"
"01261","2022","COM","2020","681","24","705","2023-01-02"
