localisation;siege_lib;type_d_etablissement;implantation_lib;coordonnees;bcnag_n_nature_uai_libelle_editi;services;date_ouverture;effectif;bcnag_n_type_uai_libelle_edition;uai;ur;ur_lib;etablissement_uai;sigle;identifiant_eter;identifiant_wikidata;element_wikidata;identifiant_grid;element_grid;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;code_pays;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;type_uai;nature_uai
Auvergne - Rhône-Alpes>Clermont-Ferrand>Allier>Vichy>Vichy;Université Clermont Auvergne;Université;ANTENNE UNITE DE FORMATION ET DE RECHERCHE SCIENCES ET TECHNOLOGIES DE L'UNIVERSITE CLERMONT 2;46.1191890049,3.42502713482;Antenne délocalisée d'une composante d'université;;2008-01-09;28;Universités et INP hors écoles d'ingenieurs;0031107M;0631976F;UFR SCIENCES ET TECHNOLOGIES;0632035V;UCA;;Q28057967;https://www.wikidata.org/entity/Q28057967;;;03310;Vichy;UU03502;Vichy;D003;Allier;A06;Clermont-Ferrand;R84;Auvergne - Rhône-Alpes;100;POLE LARDY;1 AVENUE DES CELESTINS;;;03200;VICHY;;UNIV;530
Île-de-France>Créteil>Seine-et-Marne>Paris>Champs-sur-Marne;Université Paris-Est Marne-la-Vallée;Université;SERVICE COMMUN DE LA DOCUMENTATION, UNIVERSITE PARIS-EST MARNE-LA-VALLEE;48.8399115325,2.58648394102;Service commun de documentation;Documentation;1997-02-05;;Services communs des universités;0772522Y;0772502B;UNIV PARIS-EST MARNE-LA-VALLEE;0772502B;UPEM;FR0223;Q501207;https://www.wikidata.org/entity/Q501207;grid.10594.39;https://www.grid.ac/institutes/grid.10594.39;77083;Champs-sur-Marne;UU00851;Paris;D077;Seine-et-Marne;A24;Créteil;R11;Île-de-France;100;;5  BOULEVARD DESCARTES A CHAMPS/;;;77454;MARNE LA VALLEE CEDEX 2;;SERV;526
Île-de-France>Créteil>Seine-et-Marne>Paris>Champs-sur-Marne;Université Paris-Est Marne-la-Vallée;Université;SERVICE DES ACTIVITÉS INDUSTRIELLES ET COMMERCIALES;48.8399115325,2.58648394102;Service d'activité industrielle et commerciale universitaire;"Service d'activité industrielle et commerciale;Relations industrielles";2004-04-11;;Services communs des universités;0772684Z;0772502B;UNIV PARIS-EST MARNE-LA-VALLEE;0772502B;UPEM;FR0223;Q501207;https://www.wikidata.org/entity/Q501207;grid.10594.39;https://www.grid.ac/institutes/grid.10594.39;77083;Champs-sur-Marne;UU00851;Paris;D077;Seine-et-Marne;A24;Créteil;R11;Île-de-France;100;;5  BOULEVARD DESCARTES;;;77454;MARNE LA VALLEE CEDEX 2;;SERV;520
Aquitaine - Limousin - Poitou-Charentes>Poitiers>Charente-Maritime>La Rochelle>La Rochelle;Université de La Rochelle;Université;UNITÉ DE FORMATION ET DE RECHERCHE DE LETTRES LANGUES ARTS ET SCIENCES HUMAINES UNIVERSITÉ DE LA ROCHELLE;46.1522775475,-1.15368036796;Unité de formation et de recherche (hors santé);;1993-01-09;2282;Universités et INP hors écoles d'ingenieurs;0171469E;0171463Y;UNIVERSITE LA ROCHELLE;0171463Y;;FR0014;Q1500822;https://www.wikidata.org/entity/Q1500822;grid.11698.37;https://www.grid.ac/institutes/grid.11698.37;17300;La Rochelle;UU17601;La Rochelle;D017;Charente-Maritime;A13;Poitiers;R75;Aquitaine - Limousin - Poitou-Charentes;100;;1 PARVIS FERNAND BRAUDEL;;;17042;LA ROCHELLE CEDEX 1;;UNIV;539
Aquitaine - Limousin - Poitou-Charentes>Poitiers>Charente-Maritime>La Rochelle>La Rochelle;Université de La Rochelle;Université;BIBLIOTHEQUE UNIVERSITAIRE DE LA ROCHELLE;46.1523462908,-1.15495581833;Service commun de documentation;Documentation;1995-01-09;;Services communs des universités;0171482U;0171463Y;UNIVERSITE LA ROCHELLE;0171463Y;;FR0014;Q1500822;https://www.wikidata.org/entity/Q1500822;grid.11698.37;https://www.grid.ac/institutes/grid.11698.37;17300;La Rochelle;UU17601;La Rochelle;D017;Charente-Maritime;A13;Poitiers;R75;Aquitaine - Limousin - Poitou-Charentes;100;;RUE DU LOUP MARIN;;;17042;LA ROCHELLE CEDEX 1;;SERV;526
Bourgogne - Franche-Comté>Dijon>Côte-d'Or>Dijon>Dijon;Université de Bourgogne;Université;INSTITUT UNIVERSITAIRE DE LA VIGNE ET DU VIN JULES GUYOT, UNIVERSITE DE DIJON.;47.3151708699,5.06910870197;Composante d'université avec formation diplômante;;1990-03-08;290;Universités et INP hors écoles d'ingenieurs;0211984T;0211237F;UNIVERSITE DIJON;0211237F;;FR0018;Q287072;https://www.wikidata.org/entity/Q287072;grid.5613.1;https://www.grid.ac/institutes/grid.5613.1;21231;Dijon;UU21701;Dijon;D021;Côte-d'Or;A07;Dijon;R27;Bourgogne - Franche-Comté;100;;RUE CLAUDE LADREY;;BP27877;21078;DIJON CEDEX;;UNIV;540
Bourgogne - Franche-Comté>Dijon>Nièvre>Nevers>Nevers;Université de Bourgogne;Université;INSTITUT SUPERIEUR DE L'AUTOMOBILE ET DES TRANSPORTS (ISAT) DE NEVERS DIJON, UNIVERSITE DE DIJON;46.9925714456,3.15674193042;Ecole d'ingénieurs;;1991-01-09;652;Ecoles d'ingénieurs;0580766T;0211237F;UNIVERSITE DIJON;0211237F;;FR0018;Q287072;https://www.wikidata.org/entity/Q287072;grid.5613.1;https://www.grid.ac/institutes/grid.5613.1;58194;Nevers;UU58501;Nevers;D058;Nièvre;A07;Dijon;R27;Bourgogne - Franche-Comté;100;;49  RUE MLE BOURGEOIS;;BP31;58027;NEVERS CEDEX;;ING;553
Bourgogne - Franche-Comté>Besançon>Doubs>Besançon>Besançon;Université de Franche-Comté;Université;SERVICE UNIVERSITAIRE DE FORMATION CONTINUE;47.2481670315,5.98811988519;Service commun de formation continue;Formation continue;1966-07-20;;Services communs des universités;0251867U;0251215K;UNIVERSITE DE BESANCON;0251215K;UFC;FR0022;Q829449;https://www.wikidata.org/entity/Q829449;grid.7459.f;https://www.grid.ac/institutes/grid.7459.f;25056;Besançon;UU25602;Besançon;D025;Doubs;A03;Besançon;R27;Bourgogne - Franche-Comté;100;;36 A avenue DE L'OBSERVATOIRE;;;25030;BESANCON CEDEX;;SERV;528
Bretagne>Rennes>Finistère>Brest>Brest;Université de Bretagne Occidentale;Université;INSTITUT UNIVERSITAIRE PROFESSIONNALISÉ DE GÉNIE MATHÉMATIQUE ET INFORMATIQUE, UNIVERSITÉ DE BRETAGNE OCCIDENTALE;48.4004552519,-4.50188631643;Institut universitaire professionnalisé;;1998-01-09;;Universités et INP hors écoles d'ingenieurs;0292180M;0290346U;UNIVERSITE  BREST;0290346U;UBO;FR0026;Q1857334;https://www.wikidata.org/entity/Q1857334;grid.6289.5;https://www.grid.ac/institutes/grid.6289.5;29019;Brest;UU29701;Brest;D029;Finistère;A14;Rennes;R53;Bretagne;100;;20 AVENUE LE GORGEU;;BP93837;29238;BREST CEDEX 2;;UNIV;541
Languedoc-Roussillon - Midi-Pyrénées>Toulouse>Haute-Garonne>Toulouse>Toulouse;Université Toulouse - Jean Jaurès;Université;SERVICE UNIVERSITAIRE DES ACTIVITÉS PHYSIQUES ET SPORTIVES  UNIVERSITÉ TOULOUSE 2;43.5788292653,1.40072946034;Service commun d'activités physique et sportive;Activités physique et sportive;1998-01-11;;Services communs des universités;0312536N;0311383K;UNIVERSITE TOULOUSE 2;0311383K;;FR0039;Q1933558;https://www.wikidata.org/entity/Q1933558;grid.410542.6;https://www.grid.ac/institutes/grid.410542.6;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Languedoc-Roussillon - Midi-Pyrénées;100;;5  ALLÉES ANTONIO MACHADO;;;31058;TOULOUSE CEDEX 9;;SERV;529
