localisation;siege_lib;type_d_etablissement;implantation_lib;coordonnees;bcnag_n_nature_uai_libelle_editi;services;date_ouverture;effectif;bcnag_n_type_uai_libelle_edition;uai;ur;ur_lib;etablissement_uai;sigle;identifiant_eter;identifiant_wikidata;element_wikidata;identifiant_grid;element_grid;com_code;com_nom;uucr_id;uucr_nom;dep_id;dep_nom;aca_id;aca_nom;reg_id;reg_nom;code_pays;mention_distribution;adresse_uai;lieu_dit_uai;boite_postale_uai;code_postal_uai;localite_acheminement_uai;pays_etranger_acheminement;type_uai;nature_uai
Provence-Alpes-Côte d'Azur>Aix-Marseille>Bouches-du-Rhône>Marseille - Aix-en-Provence>Aix-en-Provence;Aix-Marseille université;Université;MISSION FORMATION CONTINUE DE L UNVIVERSITE AIX-MARSEILLE;43.5249797842,5.43070952418;Service commun de formation continue;Formation continue;1988-05-11;;Services communs des universités;0133570K;0134009M;UNIVERSITE AIX-MARSEILLE;0134009M;;FR0007;Q2302586;https://www.wikidata.org/entity/Q2302586;grid.5399.6;https://www.grid.ac/institutes/grid.5399.6;13001;Aix-en-Provence;UU00759;Marseille - Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;100;;38  AVENUE DE L'EUROPE;;;13100;AIX EN PROVENCE;;SERV;528
Provence-Alpes-Côte d'Azur>Aix-Marseille>Bouches-du-Rhône>Marseille - Aix-en-Provence>Marseille  4e;Aix-Marseille université;Université;CENTRE UNIVERSITAIRE REGIONAL D ETUDES TERRITORIALES DE L UNIVERSITE AIX-MARSEILLE;43.3010948782,5.39173395501;Service général;Service général;1980-01-09;;Services communs des universités;0133595M;0134009M;UNIVERSITE AIX-MARSEILLE;0134009M;;FR0007;Q2302586;https://www.wikidata.org/entity/Q2302586;grid.5399.6;https://www.grid.ac/institutes/grid.5399.6;13204;Marseille  4e;UU00759;Marseille - Aix-en-Provence;D013;Bouches-du-Rhône;A02;Aix-Marseille;R93;Provence-Alpes-Côte d'Azur;100;;110  BOULEVARD DE LA LIBERATION;;;13004;MARSEILLE;;SERV;533
Normandie>Caen>Manche>Cherbourg-Octeville>Cherbourg-Octeville;Université de Caen Normandie;Université;DPT BANQUE - ASS IAE CHERBOURG;49.6337500109,-1.648325072;Antenne délocalisée d'une composante d'université;;2014-01-09;22;Universités et INP hors écoles d'ingenieurs;0502002E;0140107R;INST ADM ENTREPRISES CAEN;0141408E;;FR0008;Q568554;https://www.wikidata.org/entity/Q568554;grid.412043.0;https://www.grid.ac/institutes/grid.412043.0;50129;Cherbourg-Octeville;UU50501;Cherbourg-Octeville;D050;Manche;A05;Caen;R28;Normandie;100;;RUE MAX POL FOUCHET;;;50130;CHERBOURG EN COTENTIN;;UNIV;530
Normandie>Caen>Calvados>Caen>Ifs;Université de Caen Normandie;Université;INSTITUT UNIVERSITAIRE  DE CAEN - SITE D IFS;49.148993552,-0.353041649977;Antenne délocalisée d'IUT;;1994-01-09;431;Universités et INP hors écoles d'ingenieurs;0142218K;0141234R;IUT CAEN;0141408E;;FR0008;Q568554;https://www.wikidata.org/entity/Q568554;grid.412043.0;https://www.grid.ac/institutes/grid.412043.0;14341;Ifs;UU14601;Caen;D014;Calvados;A05;Caen;R28;Normandie;100;;1 RUE ANTON TCHEKOV;;;14123;IFS;;UNIV;543
Bourgogne - Franche-Comté>Dijon>Yonne>Auxerre>Auxerre;Université de Bourgogne;Université;ANTENNE DE L'INSTITUT UNIVERSITAIRE DE TECHNOLOGIE DE DIJON (AUXERRE), UNIVERSITE DE DIJON;47.7869244893,3.5945053668;Antenne délocalisée d'IUT;;1993-01-09;504;Universités et INP hors écoles d'ingenieurs;0891222V;0211139Z;IUT DE DIJON-AUXERRE;0211237F;;FR0018;Q287072;https://www.wikidata.org/entity/Q287072;grid.5613.1;https://www.grid.ac/institutes/grid.5613.1;89024;Auxerre;UU89402;Auxerre;D089;Yonne;A07;Dijon;R27;Bourgogne - Franche-Comté;100;;ROUTE DES PLAINES DE L'YONNE;;BP58;89010;AUXERRE CEDEX;;UNIV;543
Bourgogne - Franche-Comté>Dijon>Côte-d'Or>Dijon>Dijon;Université de Bourgogne;Université;SERVICE UNIVERSITAIRE DES ACTIVITES PHYSIQUES ET SPORTIVES DE L UNIVERSITE DE DIJON;47.3229771541,5.04197622666;Service commun d'activités physique et sportive;Activités physique et sportive;1975-04-23;;Services communs des universités;0211459X;0211237F;UNIVERSITE DIJON;0211237F;;FR0018;Q287072;https://www.wikidata.org/entity/Q287072;grid.5613.1;https://www.grid.ac/institutes/grid.5613.1;21231;Dijon;UU21701;Dijon;D021;Côte-d'Or;A07;Dijon;R27;Bourgogne - Franche-Comté;100;;;MAISON SPORTS CAMPUS UNI;BP27877;21078;DIJON CEDEX;;SERV;529
Bourgogne - Franche-Comté>Dijon>Côte-d'Or>Dijon>Dijon;Université de Bourgogne;Université;INSTITUT UNIVERSITAIRE PROFESSIONNALISE DE GENIE DES SYSTEMES INDUSTRIELS DE L'UNIVERSITE DE DIJON;47.3126273404,5.07256334508;Institut universitaire professionnalisé;;1995-01-09;;Universités et INP hors écoles d'ingenieurs;0212056W;0211315R;UFR SCIENCES ET TECHNIQUES;0211237F;;FR0018;Q287072;https://www.wikidata.org/entity/Q287072;grid.5613.1;https://www.grid.ac/institutes/grid.5613.1;21231;Dijon;UU21701;Dijon;D021;Côte-d'Or;A07;Dijon;R27;Bourgogne - Franche-Comté;100;;9  AVENUE ALAIN SAVARY;;BP47870;21078;DIJON CEDEX;;UNIV;541
Bourgogne - Franche-Comté>Dijon>Saône-et-Loire>Le Creusot>Le Creusot;Université de Bourgogne;Université;CENTRE UNIVERSITAIRE CONDORCET;46.8076919066,4.42291706676;Antenne délocalisée d'une composante d'université;;1991-01-09;64;Universités et INP hors écoles d'ingenieurs;0711713B;0211315R;UFR SCIENCES ET TECHNIQUES;0211237F;;FR0018;Q287072;https://www.wikidata.org/entity/Q287072;grid.5613.1;https://www.grid.ac/institutes/grid.5613.1;71153;Le Creusot;UU71401;Le Creusot;D071;Saône-et-Loire;A07;Dijon;R27;Bourgogne - Franche-Comté;100;;720 AVENUE DE L'EUROPE;;;71200;LE CREUSOT;;UNIV;530
Bourgogne - Franche-Comté>Besançon>Doubs>Besançon>Besançon;Université de Franche-Comté;Université;INSTITUT SUPERIEUR D'INGENIEURS DE FRANCHE COMTE;47.2506579423,5.9961851298;Ecole d'ingénieurs;;2001-01-09;152;Ecoles d'ingénieurs;0251900E;0251215K;UNIVERSITE DE BESANCON;0251215K;UFC;FR0022;Q829449;https://www.wikidata.org/entity/Q829449;grid.7459.f;https://www.grid.ac/institutes/grid.7459.f;25056;Besançon;UU25602;Besançon;D025;Doubs;A03;Besançon;R27;Bourgogne - Franche-Comté;100;;23 rue ALAIN SAVARY;;;25000;BESANCON;;ING;553
La Réunion>>>>;;;;;;;;;;9741206T;;;;;;;;;;;;;;;;;;R04;La Réunion;;;;;;;;;;
La Réunion>>>>;;;;;;;;;;9741087N;;;;;;;;;;;;;;;;;;R04;La Réunion;;;;;;;;;;
La Réunion>>>>;;;;;;;;;;9740921H;;;;;;;;;;;;;;;;;;R04;La Réunion;;;;;;;;;;
La Réunion>>>>;;;;;;;;;;9740015Y;;;;;;;;;;;;;;;;;;R04;La Réunion;;;;;;;;;;
Nord-Pas-de-Calais - Picardie>Amiens>Somme>Amiens>Amiens;Université de Picardie Jules-Verne;Université;UNIVERSITE AMIENS;49.8766273756,2.26562609557;Unité de formation et de recherche (hors santé);;1971-02-05;344;Universités et INP hors écoles d'ingenieurs;0800075X;0801344B;UNIVERSITE AMIENS;0801344B;UPJV;FR0230;Q947747;https://www.wikidata.org/entity/Q947747;grid.11162.35;https://www.grid.ac/institutes/grid.11162.35;80021;Amiens;UU80601;Amiens;D080;Somme;A20;Amiens;R32;Nord-Pas-de-Calais - Picardie;100;;CHEMIN DU THIL;;;80025;AMIENS CEDEX 1;;UNIV;539
Aquitaine - Limousin - Poitou-Charentes>Poitiers>Vienne>Poitiers>Poitiers;Université de Poitiers;Université;UNITE DE FORMATION ET DE RECHERCHE DE MEDECINE ET PHARMACIE UNIVERSITE DE POITIERS;46.560625150999996,0.379410011512;Unité de formation et de recherche en santé;;1971-06-05;4511;Universités et INP hors écoles d'ingenieurs;0860986E;0860856N;UNIVERSITE POITIERS;0860856N;;FR0239;Q661056;https://www.wikidata.org/entity/Q661056;grid.11166.31;https://www.grid.ac/institutes/grid.11166.31;86194;Poitiers;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R75;Aquitaine - Limousin - Poitou-Charentes;100;BAT D1 - TSA 51115;6  RUE DE LA MILETRIE;;BP199;86073;POITIERS CEDEX 9;;UNIV;537
Aquitaine - Limousin - Poitou-Charentes>Poitiers>Vienne>Poitiers>Poitiers;Université de Poitiers;Université;UNITE DE FORMATION ET DE RECHERCHE DES SCIENCES HUMAINES UNIVERSITE DE POITIERS;46.586080881,0.341226784094;Unité de formation et de recherche (hors santé);;1971-06-05;3682;Universités et INP hors écoles d'ingenieurs;0860989H;0860856N;UNIVERSITE POITIERS;0860856N;;FR0239;Q661056;https://www.wikidata.org/entity/Q661056;grid.11166.31;https://www.grid.ac/institutes/grid.11166.31;86194;Poitiers;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R75;Aquitaine - Limousin - Poitou-Charentes;100;BAT E15 - TSA81118;8  RUE RENE DESCARTES;;;86073;POITIERS CEDEX 9;;UNIV;539
Aquitaine - Limousin - Poitou-Charentes>Poitiers>Vienne>Poitiers>Poitiers;Université de Poitiers;Université;UNITÉ DE FORMATION ET DE RECHERCHE DE LETTRES ET LANGUES UNIVERSITÉ DE POITIERS;46.570405975,0.382177627229;Unité de formation et de recherche (hors santé);;1971-06-05;2491;Universités et INP hors écoles d'ingenieurs;0860990J;0860856N;UNIVERSITE POITIERS;0860856N;;FR0239;Q661056;https://www.wikidata.org/entity/Q661056;grid.11166.31;https://www.grid.ac/institutes/grid.11166.31;86194;Poitiers;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R75;Aquitaine - Limousin - Poitou-Charentes;100;CAMPUS NORD - BAT A3 - TSA 11102;1  RUE RAYMOND CANTEL;;;86073;POITIERS CEDEX 9;;UNIV;539
Aquitaine - Limousin - Poitou-Charentes>Poitiers>Vienne>Poitiers>Poitiers;Université de Poitiers;Université;MAISON DES LANGUES DE L'UNIVERSITÉ DE POITIERS;46.5665496062,0.384407369916;Antenne délocalisée d'une composante d'université;;1997-01-09;;Universités et INP hors écoles d'ingenieurs;0861435T;0860990J;UFR LETTRES ET LANGUES;0860856N;;FR0239;Q661056;https://www.wikidata.org/entity/Q661056;grid.11166.31;https://www.grid.ac/institutes/grid.11166.31;86194;Poitiers;UU86601;Poitiers;D086;Vienne;A13;Poitiers;R75;Aquitaine - Limousin - Poitou-Charentes;100;;3  RUE SHIRIN EBADI;;;86022;POITIERS CEDEX;;UNIV;530
Auvergne - Rhône-Alpes>Clermont-Ferrand>Allier>Moulins>Moulins;Centre national d'enseignement à distance;Autre établissement;SERV PEDAG POUR ELEVES MALADES;46.5689634107,3.33392681762;Centre d'enseignement à distance;;1995-01-09;;Centres d'enseignement à distance;0031065S;0861288H;CTRE NAT ENSEIGNT A DISTANCE;0861288H;CNED;;Q2350714;http://www.wikidata.org/entity/Q2350714;;;03190;Moulins;UU03401;Moulins;D003;Allier;A06;Clermont-Ferrand;R84;Auvergne - Rhône-Alpes;100;;7  AVENUE VICTOR HUGO;;;03000;MOULINS;;CNED;720
Aquitaine - Limousin - Poitou-Charentes>Limoges>Haute-Vienne>Limoges>Limoges;Université de Limoges;Université;SERVICE COMMUN DE MEDECINE PRÉVENTIVE ET DE PROMOTION DE LA SANTE, UNIVERSITE DE LIMOGES;45.8166964828,1.22930829595;Service commun de médecine préventive;Médecine préventive;1968-04-18;;Services communs des universités;0870124M;0870669E;UNIVERSITE LIMOGES;0870669E;;FR0240;Q2661290;https://www.wikidata.org/entity/Q2661290;grid.9966.0;https://www.grid.ac/institutes/grid.9966.0;87085;Limoges;UU87601;Limoges;D087;Haute-Vienne;A22;Limoges;R75;Aquitaine - Limousin - Poitou-Charentes;100;;39  RUE J RUE CAMILLE GUERIN;;;87036;LIMOGES CEDEX 1;;SERV;527
Aquitaine - Limousin - Poitou-Charentes>Limoges>Haute-Vienne>Limoges>Limoges;Université de Limoges;Université;SERVICE COMMUN INFORMATIQUE, UNIVERSITE DE LIMOGES;45.835672641,1.22843655038;Service commun d'information et d'orientation;Information et orientation;1982-01-09;;Services communs des universités;0870993G;0870669E;UNIVERSITE LIMOGES;0870669E;;FR0240;Q2661290;https://www.wikidata.org/entity/Q2661290;grid.9966.0;https://www.grid.ac/institutes/grid.9966.0;87085;Limoges;UU87601;Limoges;D087;Haute-Vienne;A22;Limoges;R75;Aquitaine - Limousin - Poitou-Charentes;100;;ALLÉE ANDRE MAUROIS;;;87065;LIMOGES CEDEX 2;;SERV;525
Île-de-France>Versailles>Essonne>Paris>Orsay;Université Paris-Sud;Université;INSTITUT DE FORMATION  ING PARIS SUD ORSAY UNIVERSITÉ PARIS 11;48.7107338099,2.17091417036;Ecole d'ingénieurs;;1983-01-10;816;Ecoles d'ingénieurs;0911986P;0911101C;UNIVERSITE PARIS 11;0911101C;;FR0245;Q1480643;https://www.wikidata.org/entity/Q1480643;grid.5842.b;https://www.grid.ac/institutes/grid.5842.b;91471;Orsay;UU00851;Paris;D091;Essonne;A25;Versailles;R11;Île-de-France;100;;PLATEAU DE MOULON;;;91405;ORSAY CEDEX;;ING;553
Île-de-France>Versailles>Essonne>Paris>Évry;Université d'Évry-Val d'Essonne;Université;UNIVERSITÉ  EVRY  VAL D' ESSONNE;48.6249351892,2.42597955226;Université;;1991-07-22;85;Universités et INP hors écoles d'ingenieurs;0911975C;0911975C;UNIVERSITE EVRY VAL D ESSONNE;0911975C;;FR0249;Q1531014;https://www.wikidata.org/entity/Q1531014;grid.8390.2;https://www.grid.ac/institutes/grid.8390.2;91228;Évry;UU00851;Paris;D091;Essonne;A25;Versailles;R11;Île-de-France;100;;Boulevard FRANCOIS MITTERRAND;;;91025;EVRY CEDEX;;UNIV;523
Île-de-France>Versailles>Hauts-de-Seine>Paris>Nanterre;Université Paris Nanterre;Université;INSTITUT DE PRÉPARSTION À L'ADMINISTRATION GÉNÉRALE;48.9046663485,2.21237259098;Institut de préparation à l'administration générale;;1985-01-09;237;Universités et INP hors écoles d'ingenieurs;0922344Y;0921204J;UNIVERSITE PARIS 10;0921204J;;FR0255;Q1394262;https://www.wikidata.org/entity/Q1394262;grid.7902.c;https://www.grid.ac/institutes/grid.7902.c;92050;Nanterre;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;100;;200  AVENUE DE LA REPUBLIQUE;;;92001;NANTERRE CEDEX;;UNIV;546
Île-de-France>Versailles>Hauts-de-Seine>Paris>Nanterre;Université Paris Nanterre;Université;SERVICE D'ADMINISTRATION DE LA RECHERCHE DE L'UNIVERSITÉ PARIS OUEST  NANTERRE LA DÉFENSE;48.9048274111,2.2091096772;Service général;Études doctorales et recherche;2002-01-09;31;Services communs des universités;0922527X;0921204J;UNIVERSITE PARIS 10;0921204J;;FR0255;Q1394262;https://www.wikidata.org/entity/Q1394262;grid.7902.c;https://www.grid.ac/institutes/grid.7902.c;92050;Nanterre;UU00851;Paris;D092;Hauts-de-Seine;A25;Versailles;R11;Île-de-France;100;;200  AVENUE DE LA REPUBLIQUE;;;92001;NANTERRE CEDEX;;SERV;533
Île-de-France>Créteil>Seine-Saint-Denis>Paris>Villetaneuse;Université Paris 13 - Paris Nord;Université;UNITÉ DE FORMATION ET DE RECHERCHE DE SCIENCES ÉCONOMIQUES ET DE GESTION, UNIVERSITÉ PARIS 13;48.9565953931,2.3383349273;Unité de formation et de recherche (hors santé);;1973-10-12;1519;Universités et INP hors écoles d'ingenieurs;0931540U;0931238R;UNIVERSITE PARIS 13;0931238R;;FR0262;Q1780212;https://www.wikidata.org/entity/Q1780212;grid.11318.3a;https://www.grid.ac/institutes/grid.11318.3a;93079;Villetaneuse;UU00851;Paris;D093;Seine-Saint-Denis;A24;Créteil;R11;Île-de-France;100;;AVENUE JEAN BAPTISTE CLEMENT;;;93430;VILLETANEUSE;;UNIV;539
Île-de-France>Créteil>Seine-Saint-Denis>Paris>Saint-Denis;Université Paris 8 - Vincennes - Saint-Denis;Université;UNITÉ DE FORMATION ET DE RECHERCHE ÉTUDES, RECHERCHES ET INGÉNIERIE EN TERRITOIRE - ENVIRONNEMENTS - SOCIÉTÉS (ERITES), UNIVERSITÉ PARIS 8;48.9441158637,2.36505276248;Unité de formation et de recherche (hors santé);;2006-01-10;554;Universités et INP hors écoles d'ingenieurs;0932435S;0931827F;UNIVERSITE PARIS 8;0931827F;;FR0263;Q1194988;https://www.wikidata.org/entity/Q1194988;grid.15878.33;https://www.grid.ac/institutes/grid.15878.33;93066;Saint-Denis;UU00851;Paris;D093;Seine-Saint-Denis;A24;Créteil;R11;Île-de-France;100;;2  RUE DE LA LIBERTE;;;93526;ST DENIS CEDEX;;UNIV;539
Île-de-France>Créteil>Val-de-Marne>Paris>Créteil;Université Paris-Est Créteil Val-de-Marne;Université;SERVICE COMMUN DES ACTIVITÉS PHYSIQUES ET SPORTIVES DE L'UNIVERSITÉ PARIS 12;48.7887986975,2.44238768499;Service commun d'activités physique et sportive;Activités physique et sportive;1983-01-10;;Services communs des universités;0941849Z;0941111X;UNIVERSITE PARIS-EST CRETEIL;0941111X;UPEC;FR0266;Q980688;https://www.wikidata.org/entity/Q980688;grid.410511.0;https://www.grid.ac/institutes/grid.410511.0;94028;Créteil;UU00851;Paris;D094;Val-de-Marne;A24;Créteil;R11;Île-de-France;100;;61  AVENUE DU GENERAL DE GAULLE;;;94010;CRETEIL CEDEX;;SERV;529
Île-de-France>Versailles>Val-d'Oise>Paris>Neuville-sur-Oise;Université de Cergy-Pontoise;Université;ANTENNE DE NEUVILLE DE L'INSTITUT UNIVERSITAIRE DE TECHNOLOGIE, UNIVERSITÉ DE CERGY-PONTOISE;49.0133852442,2.06410868243;Antenne délocalisée d'IUT;;2013-01-09;485;Universités et INP hors écoles d'ingenieurs;0952177A;0951750L;IUT CERGY PONTOISE;0951793H;;FR0275;Q2496006;https://www.wikidata.org/entity/Q2496006;grid.7901.f;https://www.grid.ac/institutes/grid.7901.f;95450;Neuville-sur-Oise;UU00851;Paris;D095;Val-d'Oise;A25;Versailles;R11;Île-de-France;100;;RUE D'ERAGNY;;;95000;NEUVILLE SUR OISE;;UNIV;543
Île-de-France>Versailles>Val-d'Oise>Paris>Neuville-sur-Oise;Université de Cergy-Pontoise;Université;INSTITUT UNIVERSITAIRE DE TECHNOLOGIE DE CERGY-PONTOISE UNIVERSITÉ CERGY-PONTOISE;49.0172743902,2.07464940765;Institut universitaire de technologie;;1989-07-28;7;Universités et INP hors écoles d'ingenieurs;0951750L;0951793H;UNIVERSITE CERGY PONTOISE;0951793H;;FR0275;Q2496006;https://www.wikidata.org/entity/Q2496006;grid.7901.f;https://www.grid.ac/institutes/grid.7901.f;95450;Neuville-sur-Oise;UU00851;Paris;D095;Val-d'Oise;A25;Versailles;R11;Île-de-France;100;;RUE D'ERAGNY;;;95000;NEUVILLE SUR OISE;;UNIV;542
Île-de-France>Versailles>Val-d'Oise>Paris>Neuville-sur-Oise;Université de Cergy-Pontoise;Université;ANTENNE DE NEUVILLE DE L'UFR SCIENCES ET TECHNIQUES, UNIVERSITÉ DE CERGY-PONTOISE;49.0133852442,2.06410868243;Antenne délocalisée d'une composante d'université;;2013-01-09;1336;Universités et INP hors écoles d'ingenieurs;0952180D;0951931H;UFR SCIENCES ET TECHNIQUES;0951793H;;FR0275;Q2496006;https://www.wikidata.org/entity/Q2496006;grid.7901.f;https://www.grid.ac/institutes/grid.7901.f;95450;Neuville-sur-Oise;UU00851;Paris;D095;Val-d'Oise;A25;Versailles;R11;Île-de-France;100;;RUE D'ERAGNY;;;95000;NEUVILLE SUR OISE;;UNIV;530
Corse>Corse>Haute-Corse>Corte>Corte;Université de Corse Pasquale Paoli;Université;UNITÉ DE FORMATION ET DE RECHERCHE LETTRES LANGUES SCIENCES HUMAINES UNIVERSITÉ DE CORSE;42.3065361305,9.15213785086;Unité de formation et de recherche (hors santé);;1982-10-06;1076;Universités et INP hors écoles d'ingenieurs;7200102Y;7200664J;UNIVERSITE CORSE;7200664J;;FR0281;Q335841;https://www.wikidata.org/entity/Q335841;grid.412058.a;https://www.grid.ac/institutes/grid.412058.a;2B096;Corte;UU2B203;Corte;D02B;Haute-Corse;A27;Corse;R94;Corse;100;;7 AVENUE JEAN NICOLI;;BP52;20250;CORTE;;UNIV;539
Corse>Corse>Haute-Corse>Corte>Corte;Université de Corse Pasquale Paoli;Université;ECOLE SUPÉRIEURE DU PROFESSORAT ET DE L'ÉDUCATION DE L'ACADÉMIE DE CORSE;42.3056433352,9.15066554416;Ecole supérieure du professorat et de l'éducation;;2013-01-09;317;Formation initiale continue des professeurs;7200739R;7200664J;UNIVERSITE CORSE;7200664J;;FR0281;Q335841;https://www.wikidata.org/entity/Q335841;grid.412058.a;https://www.grid.ac/institutes/grid.412058.a;2B096;Corte;UU2B203;Corte;D02B;Haute-Corse;A27;Corse;R94;Corse;100;ROUTE RN 200;00 ROUTE;ZONE ARTISANALE;BP86;20250;CORTE;;FORP;568
Guadeloupe>Guadeloupe>Guadeloupe>Pointe-à-Pitre - Les Abymes>Pointe-à-Pitre;Université des Antilles;Université;SERVICE UNIVERSITAIRE DE MÈDECINE PRÉVENTIVE;16.2248509582,-61.532260604;Service commun de médecine préventive;Médecine préventive;1989-01-09;;Services communs des universités;9711152A;9710585J;UNIVERSITE DES ANTILLES;9710585J;;FR0282;Q829169;https://www.wikidata.org/entity/Q829169;;;97120;Pointe-à-Pitre;UU9A701;Pointe-à-Pitre - Les Abymes;D971;Guadeloupe;A32;Guadeloupe;R01;Guadeloupe;100;;;CAMPUS DE FOUILLOLE;;97110;POINTE A PITRE;;SERV;527
Martinique>Martinique>Martinique>Fort-de-France>Fort-de-France;Université des Antilles;Université;ECOLE SUPÉRIEURE DU PROFESSORAT ET DE L'ÉDUCATION DE L'ACADÉMIE DE MARTINIQUE;14.6027212506,-61.0869009453;Ecole supérieure du professorat et de l'éducation;;2013-01-09;727;Formation initiale continue des professeurs;9720894P;9710585J;UNIVERSITE DES ANTILLES;9710585J;;FR0282;Q829169;https://www.wikidata.org/entity/Q829169;;;97209;Fort-de-France;UU9B601;Fort-de-France;D972;Martinique;A31;Martinique;R02;Martinique;100;;ROUTE DU PHARE - POINTE DES NEGR;POINTE DES NEGRES;BP678;97262;FORT DE FRANCE CEDEX;;FORP;568
Martinique>Martinique>Martinique>Fort-de-France>Fort-de-France;Université des Antilles;Université;SECTION MARTINIQUE DE L INSTITUT DE RECHERCHE SUR  L ENSEIGNEMENT DES MATHEMATIQUES, UNIVERSITE DES ANTILLES ET DE LA GUYANE;14.6020016398,-61.0824666065;Antenne délocalisée de service commun d'université;Service général;1991-06-25;;Services communs des universités;9720827S;9711053T;INST RECHERCHE ENSEIGN MATHS;9710585J;;FR0282;Q829169;https://www.wikidata.org/entity/Q829169;;;97209;Fort-de-France;UU9B601;Fort-de-France;D972;Martinique;A31;Martinique;R02;Martinique;100;;;BAT IUFM PTE DES NEGRES;;97200;FORT DE FRANCE;;SERV;536
Guyane>Guyane>Guyane>Cayenne>Cayenne;Université de Guyane;Université;SERVICE COMMUN DE DOCUMENTATION DE L'UNIVERSITÉ DE LA GUYANE;4.94082416757,-52.3222035974;Service commun de documentation;Documentation;1994-01-09;;Services communs des universités;9730290C;9730429D;UNIVERSITE DE LA GUYANE;9730429D;;FR0327;Q16682067;https://www.wikidata.org/entity/Q16682067;grid.460797.b;https://www.grid.ac/institutes/grid.460797.b;97302;Cayenne;UU9C601;Cayenne;D973;Guyane;A33;Guyane;R03;Guyane;100;;2091 ROUTE RTE DE BADUEL;CAMPUS DE TROUBIRAN;BP792;97337;CAYENNE CEDEX;;SERV;526
La Réunion>La Réunion>La Réunion>Saint-Denis>Saint-Denis;Université de La Réunion;Université;SERVICE COMMUN DE LA DOCUMENTATION DE L'UNIVERSITÉ DE LA RÉUNION;-20.901823748,55.4841882831;Service commun de documentation;Documentation;1967-07-12;;Services communs des universités;9740064B;9740478B;UNIVERSITE LA REUNION;9740478B;;FR0283;Q834819;https://www.wikidata.org/entity/Q834819;grid.11642.30;https://www.grid.ac/institutes/grid.11642.30;97411;Saint-Denis;UU9D603;Saint-Denis;D974;La Réunion;A28;La Réunion;R04;La Réunion;100;;15 avenue RENE CASSIN;;;97400;ST DENIS;;SERV;526
La Réunion>La Réunion>La Réunion>Saint-Pierre>Le Tampon;Université de La Réunion;Université;FACULTE DES LETTRES ,ANTENNE DELOCALISEE DU TAMPON;-21.2692455718,55.5069590759;Antenne délocalisée d'une composante d'université;;1995-01-10;;Universités et INP hors écoles d'ingenieurs;9741205S;9740570B;UFR LETTRES SCIENCES HUMAINES;9740478B;;FR0283;Q834819;https://www.wikidata.org/entity/Q834819;grid.11642.30;https://www.grid.ac/institutes/grid.11642.30;97422;Le Tampon;UU9D601;Saint-Pierre;D974;La Réunion;A28;La Réunion;R04;La Réunion;100;;117  RUE DU GENERAL AILLERET;;;97430;LE TAMPON;;UNIV;530
Mayotte>Mayotte>Mayotte>Dembeni>Dembeni;Centre Universitaire de Mayotte;Autre établissement;CENTRE UNIVERSITAIRE DE FORMATION ET DE RECHERCHE DE MAYOTTE;-12.845431,45.187189;Centre universitaire de formation et de recherche;;2011-10-13;1048;Universités et INP hors écoles d'ingenieurs;9760358K;9760358K;CUFR;9760358K;CU de Mayotte;FR0287;Q2946102;http://www.wikidata.org/entity/Q2946102;;;97607;Dembeni;UU9F301;Dembeni;D976;Mayotte;A43;Mayotte;R06;Mayotte;100;;ROUTE NATIONALE 3;;BP53;97660;DEMBENI;;UNIV;550
Languedoc-Roussillon - Midi-Pyrénées>Toulouse>Haute-Garonne>Toulouse>Toulouse;Institut national polytechnique de Toulouse;Institut national polytechnique;ECOLE NATIONALE SUPÉRIEURE D'ELECTROTECHNIQUE   D'ELECTRONIQUE D'INFORMATIQUE D'HYDRAULIQUE ET   DES TÉLÉCOMMUNICATIONS INSTITUT NAL POLYTECHNIQUE;43.6021315584,1.45547179632;Ecole d'ingénieurs;;1971-06-05;1628;Ecoles d'ingénieurs;0310120M;0311381H;INP TOULOUSE;0311381H;INPT;FR0037;Q3152453;https://www.wikidata.org/entity/Q3152453;grid.15363.32;https://www.grid.ac/institutes/grid.15363.32;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Languedoc-Roussillon - Midi-Pyrénées;100;;2  RUE CHARLES CAMICHEL;;BP7122;31071;TOULOUSE CEDEX 7;;ING;553
Languedoc-Roussillon - Midi-Pyrénées>Toulouse>Haute-Garonne>Toulouse>Toulouse;Institut national polytechnique de Toulouse;Institut national polytechnique;DÉPARTEMENT CYCLE PRÉPARATOIRE POLYTECHNIQUE       INSTITUT NATIONAL POLYTECHNIQUE;43.5540704151,1.50406045764;Ecole d'ingénieurs;;1993-09-27;191;Ecoles d'ingénieurs;0312390E;0311381H;INP TOULOUSE;0311381H;INPT;FR0037;Q3152453;https://www.wikidata.org/entity/Q3152453;grid.15363.32;https://www.grid.ac/institutes/grid.15363.32;31555;Toulouse;UU31701;Toulouse;D031;Haute-Garonne;A16;Toulouse;R76;Languedoc-Roussillon - Midi-Pyrénées;100;;6  ALLÉE EMILE MONSO;;BP4038;31029;TOULOUSE CEDEX 4;;ING;553
