"insee_com","lib_com","id_acv","lib_acv","date_signature"
"35360","Vitré","acv-220","Vitré",2018-09-27
"36044","Châteauroux","acv-057","Châteauroux",2018-09-28
"36088","Issoudun","acv-103","Issoudun",2018-09-28
"37072","Chinon","acv-061","Chinon",2018-07-11
"38053","Bourgoin-Jallieu","acv-037","Bourgoin-Jallieu",2018-11-06
"38544","Vienne","acv-215","Vienne",2018-11-21
"38563","Voiron","acv-222","Voiron",2018-11-09
"39198","Dole","acv-075","Dole",2018-06-21
"39300","Lons-le-Saunier","acv-121","Lons-le-Saunier",2018-06-20
"40088","Dax","acv-070","Dax",2018-09-25
"40192","Mont-de-Marsan","acv-136","Mont-de-Marsan",2018-09-11
"41018","Blois","acv-033","Blois",2018-07-05
"41194","Romorantin-Lanthenay","acv-171","Romorantin-Lanthenay",2018-07-05
"42147","Montbrison","acv-140","Montbrison",2018-09-26
"42187","Roanne","acv-167","Roanne",2018-09-26
"43157","Le Puy-en-Velay","acv-112","Le Puy-en-Velay",2019-01-21
"44036","Châteaubriant","acv-056","Châteaubriant",2018-09-07
"44184","Saint-Nazaire","acv-183","Saint-Nazaire",2018-10-11
"45155","Gien","acv-096","Gien",2018-07-11
"45208","Montargis","acv-137","Montargis",2018-10-12
"45252","Pithiviers","acv-157","Pithiviers",2018-10-16
"46042","Cahors","acv-042","Cahors",2018-07-13
"46102","Figeac","acv-087","Figeac",2018-09-27
"47001","Agen","acv-003","Agen",2018-09-12
"47157","Marmande","acv-130","Marmande - Tonneins",2018-09-26
"47310","Tonneins","acv-130","Marmande - Tonneins",2018-09-26
"47323","Villeneuve-sur-Lot","acv-218","Villeneuve-sur-Lot",2018-09-26
"48095","Mende","acv-134","Mende",2018-09-27
"49099","Cholet","acv-062","Cholet",2018-10-22
"49328","Saumur","acv-191","Saumur",2018-06-11
"50129","Cherbourg-en-Cotentin","acv-060","Cherbourg-en-Cotentin",2018-09-28
"50502","Saint-Lô","acv-180","Saint-Lô",2018-09-26
"51108","Châlons-en-Champagne","acv-051","Châlons-en-Champagne",2018-06-08
"51230","Épernay","acv-081","Épernay",2018-10-01
"51649","Vitry-le-François","acv-221","Vitry-le-François",2018-11-16
"52121","Chaumont","acv-059","Chaumont",2018-10-11
"52448","Saint-Dizier","acv-177","Saint-Dizier",2018-06-08
"53130","Laval","acv-108","Laval",2018-07-27
"54323","Longwy","acv-120","Longwy",2018-10-18
"54329","Lunéville","acv-126","Lunéville",2018-06-08
"54528","Toul","acv-203","Toul",2018-09-28
"55029","Bar-le-Duc","acv-022","Bar-le-Duc",2018-09-27
"55545","Verdun","acv-211","Verdun",2018-07-11
"56121","Lorient","acv-122","Lorient",2018-09-25
"56178","Pontivy","acv-160","Pontivy",2018-09-27
"56260","Vannes","acv-210","Vannes",2018-09-28
"57227","Forbach","acv-092","Forbach",2018-08-19
"57606","Saint-Avold","acv-174","Saint-Avold",2018-10-15
"57630","Sarrebourg","acv-188","Sarrebourg",2018-10-15
"57631","Sarreguemines","acv-189","Sarreguemines",2018-10-15
"57672","Thionville","acv-202","Thionville",2018-06-29
"58086","Cosne-Cours-sur-Loire","acv-067","Cosne-Cours-sur-Loire",2018-11-19
"58194","Nevers","acv-149","Nevers",2018-11-19
"59122","Cambrai","acv-044","Cambrai",2018-09-28
"59172","Denain","acv-072","Denain",2018-09-28
"59178","Douai","acv-076","Douai",2018-09-20
"59183","Dunkerque","acv-079","Dunkerque",2018-09-28
"59295","Hazebrouck","acv-225","Hazebrouck",
"59392","Maubeuge","acv-131","Maubeuge",2018-09-28
"59569","Sin-le-Noble","acv-229","Sin-le-Noble",
"59606","Valenciennes","acv-208","Valenciennes",2018-09-28
"60057","Beauvais","acv-027","Beauvais",2018-06-11
"60159","Compiègne","acv-065","Compiègne",2018-09-28
"60175","Creil","acv-069","Creil",2018-07-04
"60612","Senlis","acv-194","Senlis",2018-09-28
"61001","Alençon","acv-006","Alençon",2018-09-06
"61006","Argentan","acv-011","Argentan",2018-09-17
"61169","Flers","acv-088","Flers",2018-09-13
"62041","Arras","acv-014","Arras",2018-06-12
"62119","Béthune","acv-031","Béthune - Bruay-la-Buissière",2018-09-24
"62160","Boulogne-sur-Mer","acv-034","Boulogne-sur-Mer",2018-09-27
"62178","Bruay-la-Buissière","acv-031","Béthune - Bruay-la-Buissière",2018-09-24
"62193","Calais","acv-043","Calais",2018-10-08
"62498","Lens","acv-113","Lens - Liévin",2018-09-20
"62510","Liévin","acv-113","Lens - Liévin",2018-09-20
"62765","Saint-Omer","acv-184","Saint-Omer",2018-07-02
"63178","Issoire","acv-102","Issoire",2018-12-03
"63300","Riom","acv-166","Riom",2018-10-12
"63430","Thiers","acv-201","Thiers",2018-10-12
"64102","Bayonne","acv-025","Bayonne",2018-12-11
"64445","Pau","acv-154","Pau",2018-09-25
"65286","Lourdes","acv-123","Lourdes",2018-09-28
"65440","Tarbes","acv-200","Tarbes",2018-09-28
"66136","Perpignan","acv-156","Perpignan",2018-09-26
"67180","Haguenau","acv-101","Haguenau",2018-08-22
"67437","Saverne","acv-192","Saverne",2018-09-19
"67462","Sélestat","acv-228","Sélestat",
"68066","Colmar","acv-064","Colmar",2018-08-23
"68112","Guebwiller","acv-099","Guebwiller",2018-09-07
"69243","Tarare","acv-198","Tarare",2018-09-25
"70550","Vesoul","acv-213","Vesoul",2018-09-25
"71014","Autun","acv-018","Autun",2018-09-20
"71076","Chalon-sur-Saône","acv-050","Chalon-sur-Saône",2018-10-18
