rentree_scolaire;academie;code_du_departement;departement;uai;nom_de_l_etablissment;code_insee_de_la_commune;nom_de_la_commune;secteur;type_de_lycee;ips_voie_gt;ips_voie_pro;ips_ensemble_gt_pro;ecart_type_de_l_ips_voie_gt;ecart_type_de_l_ips_voie_pro
2019-2020;VERSAILLES;95;VAL-D'OISE;0951811C;LYCEE POLYVALENT FERNAND ET NADIA LEGER LYCEE DES METIERS DU SOCIAL DE LA SANTE DES SERVICES;95018;ARGENTEUIL;public;LPO;88.2;81.6;84.0;32.0;28.8
2019-2020;VERSAILLES;95;VAL-D'OISE;0951998F;LYCEE POLYVALENT PRIVE DE GARAC LYCEE DES METIERS DE LA VENTE ET DE L APRES VENTE AUTO MOTO ET VEHICULE INDUSTRIEL;95018;ARGENTEUIL;privé sous contrat;LP;;122.9;122.9;;32.3
2019-2020;VERSAILLES;95;VAL-D'OISE;0952158E;LYCEE GENERAL ET TECHNOLOGIQUE PAUL RICOEUR;95351;LOUVRES;privé sous contrat;LEGT;121.0;;121.0;30.8;
2019-2020;VERSAILLES;95;VAL-D'OISE;0952173W;LYCEE POLYVALENT EUGENE RONCERAY;95063;BEZONS;public;LPO;92.1;81.8;87.9;33.3;26.8
2019-2020;CORSE;02A;CORSE-DU-SUD;6200003J;LYCEE PROFESSIONNEL JULES ANTONINI AJACCIO;2A004;AJACCIO;public;LP;;91.0;91.0;;27.2
2019-2020;CORSE;02B;HAUTE-CORSE;7200009X;LYCEE GENERAL ET TECHNOLOGIQUE GIOCANTE DE CASABIANCA BASTIA;2B033;BASTIA;public;LEGT;111.7;;111.7;37.0;
2019-2020;CORSE;02B;HAUTE-CORSE;7200123W;LYCEE POLYVALENT DE BALAGNE;2B134;L ILE ROUSSE;public;LPO;101.2;86.5;98.4;31.9;24.7
2019-2020;CORSE;02B;HAUTE-CORSE;7200719U;LYCEE POLYVALENT DU FIUM ORBU;2B251;PRUNELLI DI FIUMORBO;public;LPO;104.2;84.8;103.0;34.9;28.5
2019-2020;GUADELOUPE;971;GUADELOUPE;9710052E;LYCEE PROFESSIONNEL LOUIS DELGRES LYCEE DES METIERS DE L ENVIRONNEMENT ET DE L AMENAGEMENT DU BATIMENT;97117;LE MOULE;public;LP;;73.9;73.9;;25.9
2019-2020;GUADELOUPE;971;GUADELOUPE;9710090W;LYCEE PROFESSIONNEL BERTENE JUMINER LYCEE DES METIERS DE L HABITAT ET DES SERVICES ASSOCIES;97115;LAMENTIN;public;LP;;72.3;72.3;;26.4
2019-2020;GUADELOUPE;971;GUADELOUPE;9710879D;LYCEE PROFESSIONNEL PRIVE BEL AIR;97103;BAIE MAHAULT;privé sous contrat;LP;;85.5;85.5;;35.7
2019-2020;GUADELOUPE;971;GUADELOUPE;9710921Z;LYCEE GENERAL ET TECHNOLOGIQUE FELIX PROTO;97101;LES ABYMES;public;LEGT;89.9;;89.9;32.4;
2019-2020;GUADELOUPE;971;GUADELOUPE;9711033W;LYCEE POLYVALENT POINTE NOIRE;97121;POINTE NOIRE;public;LPO;100.3;71.8;86.1;36.3;28.5
2019-2020;MARTINIQUE;972;MARTINIQUE;9720063L;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH DE CLUNY;97209;FORT DE FRANCE;privé sous contrat;LEGT;122.1;;122.1;30.5;
2019-2020;MARTINIQUE;972;MARTINIQUE;9720468B;LYCEE PROFESSIONNEL RAYMOND NERIS LYCEE DES METIERS DU NAUTISME ET DES ACTIVITES DE PORT;97217;LE MARIN;public;LP;;75.7;75.7;;27.1
2019-2020;MARTINIQUE;972;MARTINIQUE;9720501M;LYCEE PROFESSIONNEL CHATEAUBOEUF;97209;FORT DE FRANCE;public;LP;;75.6;75.6;;28.5
2019-2020;MARTINIQUE;972;MARTINIQUE;9720692V;LYCEE GENERAL ET TECHNOLOGIQUE DU NORD ATLANTIQUE;97228;SAINTE MARIE;public;LPO;99.0;72.7;92.2;37.0;28.4
2019-2020;MARTINIQUE;972;MARTINIQUE;9720888H;LYCEE POLYVALENT (LYCEE DU NUMERIQUE DU DESIGN ET DES ARTS APPLIQUES VICTOR ANICET (EX SAINT JAMES);97225;SAINT PIERRE;public;LPO;95.9;81.2;91.5;34.7;27.8
2019-2020;GUYANE;973;GUYANE;9730010Y;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE EXTERNAT SAINT JOSEPH;97302;CAYENNE;privé sous contrat;LEGT;120.1;;120.1;31.4;
2019-2020;GUYANE;973;GUYANE;9730235T;LYCEE POLYVALENT BERTENE JUMINER;97311;SAINT LAURENT DU MARONI;public;LPO;72.1;55.5;64.3;36.6;18.1
2019-2020;GUYANE;973;GUYANE;9730371R;LYCEE POLYVALENT LUMINA SOPHIE;97311;SAINT LAURENT DU MARONI;public;LPO;63.9;56.4;60.4;29.1;18.9
2019-2020;GUYANE;973;GUYANE;9730421V;LYCEE POLYVALENT LEOPOLD ELFORT;97306;MANA;public;LPO;73.8;55.6;61.6;37.0;18.1
2019-2020;LA REUNION;974;LA REUNION;9740002J;LYCEE POLYVALENT ROLAND GARROS;97422;LE TAMPON;public;LPO;93.8;67.9;89.1;39.5;27.3
2019-2020;LA REUNION;974;LA REUNION;9740020D;LYCEE PROFESSIONNEL VICTOR SCHOELCHER;97414;SAINT LOUIS;public;LP;;62.9;62.9;;23.7
2019-2020;LA REUNION;974;LA REUNION;9740045F;LYCEE POLYVALENT ANTOINE DE SAINT EXUPERY;97401;LES AVIRONS;public;LPO;110.7;74.0;100.2;41.3;28.2
2019-2020;LA REUNION;974;LA REUNION;9740575G;LYCEE PROFESSIONNEL FRANCOIS DE MAHY;97416;SAINT PIERRE;public;LP;;65.7;65.7;;25.3
2019-2020;LA REUNION;974;LA REUNION;9740679V;LYCEE PROFESSIONNEL PRIVE CATHOLIQUE SAINTE SUZANNE;97420;SAINTE SUZANNE;privé sous contrat;LP;;62.5;62.5;;24.8
2019-2020;LA REUNION;974;LA REUNION;9740787M;LYCEE GENERAL ET TECHNOLOGIQUE ANTOINE ROUSSIN;97414;SAINT LOUIS;public;LEGT;77.1;;77.1;30.5;
2019-2020;LA REUNION;974;LA REUNION;9740921H;LYCEE PROFESSIONNEL ISNELLE AMELIN;97418;SAINTE MARIE;public;LP;;66.5;66.5;;26.9
2019-2020;LA REUNION;974;LA REUNION;9741087N;LYCEE POLYVALENT BOISJOLY POTIER;97422;LE TAMPON;public;LPO;82.5;67.0;74.3;35.2;27.6
2019-2020;LA REUNION;974;LA REUNION;9741173G;LYCEE POLYVALENT MOULIN JOLI;97408;LA POSSESSION;public;LPO;107.0;75.8;101.3;39.7;29.5
2019-2020;LA REUNION;974;LA REUNION;9741231V;LYCEE POLYVALENT MARIE CURIE LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;97410;SAINT BENOIT;public;LPO;85.9;68.8;81.3;33.2;25.3
2019-2020;LA REUNION;974;LA REUNION;9741556Y;LYCEE POLYVALENT PRIVE MAISON BLANCHE;97415;SAINT PAUL;privé sous contrat;LEGT;133.2;;133.2;32.4;
2019-2020;MAYOTTE;976;MAYOTTE;9760229V;LPO DE PETITE TERRE;97615;PAMANDZI;public;LPO;79.0;64.5;75.3;36.6;27.1
2020-2021;LYON;1;AIN;0010010F;LYCEE GENERAL ET TECHNOLOGIQUE DU BUGEY;1034;BELLEY;public;LEGT;109.2;;109.2;35.7;
2020-2021;LYON;1;AIN;0010020S;LYCEE PROFESSIONNEL GEORGES CHARPAK LYCEE DES METIERS DE LA MAINTENANCE DES ENGINS MECANIQUES;1093;CHATILLON SUR CHALARONNE;public;LP;;103.3;103.3;;31.9
2020-2021;LYON;1;AIN;0010034G;LYCEE POLYVALENT PAUL PAINLEVE;1283;OYONNAX;public;LPO;89.2;71.5;83.8;33.7;23.8
2020-2021;LYON;1;AIN;0010069V;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE ENSEMBLE SCOLAIRE LAMARTINE;1034;BELLEY;privé sous contrat;LEGT;111.4;;111.4;33.2;
2020-2021;AMIENS;2;AISNE;0021869W;LYCEE D ENSEIGNEMENT GENERAL ET TECHNOLOGIQUE PRIVE SAINT JOSEPH;2168;CHATEAU THIERRY;privé sous contrat;LEGT;108.6;;108.6;33.8;
2020-2021;AMIENS;2;AISNE;0021872Z;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE LA PROVIDENCE;2408;LAON;privé sous contrat;LEGT;111.6;;111.6;30.9;
2020-2021;AMIENS;2;AISNE;0021999M;LYCEE PROFESSIONNEL PRIVE SAINT JOSEPH LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;2168;CHATEAU THIERRY;privé sous contrat;LP;;96.0;96.0;;31.4
2020-2021;CLERMONT-FERRAND;3;ALLIER;0030025L;LYCEE GENERAL MADAME DE STAEL;3185;MONTLUCON;public;LEGT;112.3;;112.3;35.0;
2020-2021;CLERMONT-FERRAND;3;ALLIER;0030026M;LYCEE POLYVALENT PAUL CONSTANS LYCEE DES METIERS SCIENTIFIQUES INDUSTRIELS ADMINISTRATIFS ET COMMERCIAUX;3185;MONTLUCON;public;LPO;108.5;83.9;99.5;34.2;28.1
2020-2021;CLERMONT-FERRAND;3;ALLIER;0030061A;LYCEE PROFESSIONNEL ALBERT LONDRES LYCEE DES METIERS DU BOIS DES ENERGIES ET DES SERVICES AUX ORGANISATIONS;3095;CUSSET;public;LP;;82.2;82.2;;27.2
2020-2021;CLERMONT-FERRAND;3;ALLIER;0030105Y;LYCEE PROFESSIONNEL PRIVE SAINTE LOUISE;3185;MONTLUCON;privé sous contrat;LP;;79.1;79.1;;30.3
2020-2021;AIX-MARSEILLE;4;ALPES-DE-HTE-PROVENCE;0040011R;LYCEE PROFESSIONNEL LOUIS MARTIN BRET LYCEE DES METIERS DE L HOTELLERIE RESTAURATION DES SECTEURS TERTIAIRE ET INDUSTRIEL;4112;MANOSQUE;public;LP;;85.6;85.6;;29.5
2020-2021;AIX-MARSEILLE;4;ALPES-DE-HTE-PROVENCE;0040023D;LYCEE POLYVALENT PAUL ARENE LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION DES ALPES PROVENCALES;4209;SISTERON;public;LPO;112.9;101.4;109.6;34.8;31.8
2020-2021;AIX-MARSEILLE;4;ALPES-DE-HTE-PROVENCE;0040533H;LYCEE POLYVALENT LES ISCLES;4112;MANOSQUE;public;LPO;119.2;104.5;117.6;34.4;33.1
2020-2021;AIX-MARSEILLE;5;HAUTES-ALPES;0050004C;LYCEE CLIMATIQUE HONORE ROMANE;5046;EMBRUN;public;LEGT;115.0;;115.0;32.4;
2020-2021;AIX-MARSEILLE;5;HAUTES-ALPES;0050005D;LYCEE PROFESSIONNEL ALPES ET DURANCE LYCEE DES METIERS PLURI ACTIFS DU BOIS ET DE L HABITAT DE MONTAGNE;5046;EMBRUN;public;LP;;104.1;104.1;;31.4
2020-2021;AIX-MARSEILLE;5;HAUTES-ALPES;0050008G;LYCEE PROFESSIONNEL PAUL HERAUD;5061;GAP;public;LP;;97.7;97.7;;28.9
2020-2021;NICE;6;ALPES-MARITIMES;0060015J;LYCEE PROFESSIONNEL LES COTEAUX LYCEE DES METIERS DE LA RELATION CLIENT DE LA MODE ET DU COSTUME DE SPECTACLE;6029;CANNES;public;LPO;121.3;91.0;92.1;32.1;31.1
2020-2021;NICE;6;ALPES-MARITIMES;0060026W;LYCEE GENERAL ET TECHNOLOGIQUE PIERRE ET MARIE CURIE;6083;MENTON;public;LEGT;102.5;;102.5;31.9;
2020-2021;NICE;6;ALPES-MARITIMES;0060028Y;LYCEE PROFESSIONNEL PAUL VALERY LYCEE DES METIERS DE LA RESTAURATION;6083;MENTON;public;LP;;81.6;81.6;;26.6
2020-2021;NICE;6;ALPES-MARITIMES;0060030A;LYCEE GENERAL MASSENA;6088;NICE;public;LEGT;123.4;;123.4;35.8;
2020-2021;NICE;6;ALPES-MARITIMES;0060031B;LYCEE GENERAL ET TECHNOLOGIQUE ALBERT CALMETTE;6088;NICE;public;LEGT;122.4;;122.4;37.4;
2020-2021;NICE;6;ALPES-MARITIMES;0060038J;LYCEE PROFESSIONNEL VAUBAN;6088;NICE;public;LP;;77.9;77.9;;28.1
2020-2021;NICE;6;ALPES-MARITIMES;0060042N;LYCEE PROFESSIONNEL LES PALMIERS;6088;NICE;public;LP;;83.0;83.0;;28.0
2020-2021;NICE;6;ALPES-MARITIMES;0060670W;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SAINTE MARIE;6029;CANNES;privé sous contrat;LEGT;121.8;;121.8;33.2;
2020-2021;NICE;6;ALPES-MARITIMES;0060673Z;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE STANISLAS;6029;CANNES;privé sous contrat;LEGT;133.7;;133.7;31.3;
2020-2021;NICE;6;ALPES-MARITIMES;0060735S;LYCEE TECHNOLOGIQUE PRIVE LES FAUVETTES;6029;CANNES;privé sous contrat;LEGT;95.9;;95.9;32.9;
2020-2021;NICE;6;ALPES-MARITIMES;0060773H;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE DON BOSCO;6088;NICE;privé sous contrat;LEGT;134.6;;134.6;28.7;
2020-2021;NICE;6;ALPES-MARITIMES;0060774J;LYCEE POLYVALENT PRIVE SAINT JOSEPH;6088;NICE;privé sous contrat;LEGT;109.0;;109.0;32.8;
2020-2021;NICE;6;ALPES-MARITIMES;0061478Z;LYCEE POLYVALENT LEONARD DE VINCI LYCEE DES METIERS DU BATIMENT ET TRAVAUX PUBLICS;6004;ANTIBES;public;LPO;126.0;108.9;120.4;33.0;32.2
2020-2021;NICE;6;ALPES-MARITIMES;0061884R;LYCEE GENERAL ET TECHNOLOGIQUE HENRI MATISSE;6157;VENCE;public;LEGT;129.0;;129.0;33.7;
2020-2021;NICE;6;ALPES-MARITIMES;0062089N;LYCEE GENERAL ET TECHNOLOGIQUE RENE GOSCINNY;6054;DRAP;public;LEGT;100.0;;100.0;34.8;
2020-2021;GRENOBLE;7;ARDECHE;0070002P;LYCEE PROFESSIONNEL JOSEPH ET ETIENNE DE MONTGOLFIER;7010;ANNONAY;public;LP;;77.4;77.4;;26.3
2020-2021;GRENOBLE;7;ARDECHE;0070016E;LYCEE PROFESSIONNEL HOTELIER LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION INNOVANTE;7132;LARGENTIERE;public;LP;;95.6;95.6;;28.3
2020-2021;GRENOBLE;7;ARDECHE;0070069M;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE SACRE COEUR NOTRE DAME;7186;PRIVAS;privé sous contrat;LEGT;102.1;;102.1;33.6;
2020-2021;GRENOBLE;7;ARDECHE;0070100W;LYCEE PROFESSIONNEL PRIVE MARC SEGUIN;7010;ANNONAY;privé sous contrat;LP;;95.3;95.3;;30.6
2020-2021;GRENOBLE;7;ARDECHE;0070112J;LYCEE PROFESSIONNEL PRIVE SAINT ANDRE;7319;LE TEIL;privé sous contrat;LP;;97.9;97.9;;27.4
2020-2021;GRENOBLE;7;ARDECHE;0070114L;LYCEE PROFESSIONNEL PRIVE NOTRE DAME LYCEE DES METIERS DU TRAVAIL SOCIAL ET DE LA SANTE;7186;PRIVAS;privé sous contrat;LP;;80.5;80.5;;36.6
2020-2021;GRENOBLE;7;ARDECHE;0071397F;LYCEE POLYVALENT;7064;LE CHEYLARD;public;LPO;108.4;94.6;105.4;32.4;31.1
2020-2021;REIMS;8;ARDENNES;0080018B;LYCEE GENERAL VAUBAN;8190;GIVET;public;LEGT;99.0;;99.0;33.3;
2020-2021;REIMS;8;ARDENNES;0080039Z;LYCEE POLYVALENT PAUL VERLAINE;8362;RETHEL;public;LPO;108.6;77.5;97.5;32.2;24.9
2020-2021;REIMS;8;ARDENNES;0080048J;LYCEE PROFESSIONNEL LE CHATEAU;8409;SEDAN;public;LP;;72.4;72.4;;24.0
2020-2021;REIMS;10;AUBE;0100046W;LYCEE GENERAL PRIVE SAINT FRANCOIS DE SALES;10387;TROYES;privé sous contrat;LEGT;126.6;;126.6;32.6;
2020-2021;REIMS;10;AUBE;0101015Z;LYCEE PROFESSIONNEL PRIVE LA SALLE LYCEE DES METIERS DU BATIMENT PERFORMANT DU DESIGN ET DE LA COMMUNICATION DIGITALE;10387;TROYES;privé sous contrat;LP;;98.7;98.7;;32.8
2020-2021;MONTPELLIER;11;AUDE;0110019L;LYCEE POLYVALENT JACQUES RUFFIE;11206;LIMOUX;public;LPO;109.0;78.5;104.5;33.7;29.9
2020-2021;MONTPELLIER;11;AUDE;0110027V;LYCEE PROFESSIONNEL ÉDOUARD HERRIOT;11304;QUILLAN;public;LP;;76.0;76.0;;25.6
2020-2021;TOULOUSE;12;AVEYRON;0120014A;LYCEE PROFESSIONNEL JEAN VIGO;12145;MILLAU;public;LP;;89.5;89.5;;27.7
2020-2021;TOULOUSE;12;AVEYRON;0120022J;LYCEE GENERAL FERDINAND FOCH;12202;RODEZ;public;LEGT;121.1;;121.1;34.3;
2020-2021;TOULOUSE;12;AVEYRON;0121438Y;LYCEE GENERAL ET TECHNOLOGIQUE PRIVE FRANCOIS D ESTAING;12202;RODEZ;privé sous contrat;LEGT;119.6;;119.6;33.2;
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0130001F;LYCEE POLYVALENT EMILE ZOLA;13001;AIX EN PROVENCE;public;LPO;125.7;97.0;122.5;35.1;33.5
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0130040Y;LYCEE GENERAL ET TECHNOLOGIQUE THIERS;13201;MARSEILLE 1ER ARRONDISSEMENT;public;LEGT;118.6;;118.6;43.5;
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0130043B;LYCEE GENERAL ET TECHNOLOGIQUE VICTOR HUGO;13203;MARSEILLE 3E ARRONDISSEMENT;public;LEGT;69.7;;69.7;25.6;
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0130053M;LYCEE POLYVALENT JEAN PERRIN;13210;MARSEILLE 10E ARRONDISSEMENT;public;LPO;102.6;78.2;99.0;35.9;26.0
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0130059U;LYCEE PROFESSIONNEL BLAISE PASCAL;13212;MARSEILLE 12E ARRONDISSEMENT;public;LP;;75.0;75.0;;30.0
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0130065A;LYCEE PROFESSIONNEL LA VISTE LYCEE DES METIERS DE LA SANTE ET DU SOCIAL;13215;MARSEILLE 15E ARRONDISSEMENT;public;LP;;62.5;62.5;;18.4
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0130164H;LYCEE GENERAL ET TECHNOLOGIQUE ALPHONSE DAUDET;13108;TARASCON;public;LEGT;102.2;;102.2;37.5;
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0131347U;LYCEE GENERAL PRIVE SAINTE TRINITE;13209;MARSEILLE 9E ARRONDISSEMENT;privé sous contrat;LEGT;129.1;;129.1;34.1;
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0131436R;LYCEE TECHNOLOGIQUE PRIVE MODELE ELECTRONIQUE;13211;MARSEILLE 11E ARRONDISSEMENT;privé sous contrat;LPO;102.6;99.6;100.2;37.9;32.2
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0131441W;LYCEE PROFESSIONNEL PRIVE SAINT MICHEL;13205;MARSEILLE 5E ARRONDISSEMENT;privé sous contrat;LP;;68.5;68.5;;26.5
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0131463V;LYCEE PROFESSIONNEL PRIVE LA CABUCELLE;13215;MARSEILLE 15E ARRONDISSEMENT;privé sous contrat;LP;;61.3;61.3;;26.3
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0132210G;LYCEE GENERAL ET TECHNOLOGIQUE JEAN LURCAT;13056;MARTIGUES;public;LEGT;112.0;;112.0;36.4;
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0132276D;LYCEE PROFESSIONNEL LYCEE DES METIERS LATECOERE;13047;ISTRES;public;LP;;86.3;86.3;;28.5
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0132472S;LYCEE GENERAL PRIVE YAVNE;13213;MARSEILLE 13E ARRONDISSEMENT;privé sous contrat;LEGT;113.7;;113.7;38.6;
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0133424B;LYCEE TECHNOLOGIQUE PRIVE CAUCADIS;13117;VITROLLES;privé sous contrat;LPO;101.8;91.2;93.2;31.7;26.8
2020-2021;AIX-MARSEILLE;13;BOUCHES-DU-RHONE;0134107U;IBN KHALDOUN;13215;MARSEILLE 15E ARRONDISSEMENT;privé sous contrat;LEGT;100.1;;100.1;36.0;
2020-2021;CAEN;14;CALVADOS;0140043W;LYCEE GENERAL ANDRE MAUROIS;14220;DEAUVILLE;public;LEGT;106.6;;106.6;32.5;
2020-2021;CAEN;14;CALVADOS;0141172Y;LYCEE GENERAL PRIVE MARIE JOSEPH;14715;TROUVILLE SUR MER;privé sous contrat;LEGT;127.5;;127.5;31.6;
2020-2021;CAEN;14;CALVADOS;0141275K;LYCEE POLYVALENT PAUL CORNU LYCEE DES METIERS DES INDUSTRIES GRAPHIQUES;14366;LISIEUX;public;LPO;97.3;84.4;88.7;31.3;26.3
2020-2021;CAEN;14;CALVADOS;0141599M;LYCEE PROFESSIONNEL JEAN JOORIS;14225;DIVES SUR MER;public;LP;;82.3;82.3;;24.8
2020-2021;CAEN;14;CALVADOS;0141868E;LYCEE PROFESSIONNEL PRIVE LES ROSIERS;14366;LISIEUX;privé sous contrat;LP;;84.8;84.8;;26.9
2020-2021;CAEN;14;CALVADOS;0142084P;LYCEE TECHNOLOGIQUE PRIVE NOTRE DAME DE FIDELITE;14118;CAEN;privé sous contrat;LEGT;98.7;;98.7;30.9;
2020-2021;CAEN;14;CALVADOS;0142131R;LYCEE POLYVALENT JULES DUMONT D URVILLE;14118;CAEN;public;LPO;122.1;88.6;117.1;35.2;27.3
2020-2021;CAEN;14;CALVADOS;0142132S;LYCEE POLYVALENT FRANCOIS RABELAIS LYCEE DES METIERS DE L HOTELLERIE ET DE LA RESTAURATION;14341;IFS;public;LPO;114.1;94.3;97.2;37.3;30.4
2020-2021;CAEN;14;CALVADOS;0142133T;LYCEE POLYVALENT PIERRE SIMON DE LAPLACE LYCEE DES METIERS DE L HABITAT ET DES TRAVAUX PUBLICS;14118;CAEN;public;LPO;116.4;94.0;104.8;33.7;32.2
2020-2021;CLERMONT-FERRAND;15;CANTAL;0150022T;LYCEE PROFESSIONNEL JOSEPH CONSTANT;15138;MURAT;public;LP;;96.9;96.9;;29.2
2020-2021;CLERMONT-FERRAND;15;CANTAL;0150760V;LYCEE POLYVALENT PRIVE GERBERT;15014;AURILLAC;privé sous contrat;LPO;111.6;90.6;101.7;35.7;29.0
2020-2021;POITIERS;16;CHARENTE;0160002R;LYCEE GENERAL GUEZ DE BALZAC;16015;ANGOULEME;public;LEGT;116.7;;116.7;36.6;
2020-2021;POITIERS;16;CHARENTE;0160010Z;LYCEE GENERAL ET TECHNOLOGIQUE ELIE VINET;16028;BARBEZIEUX SAINT HILAIRE;public;LEGT;113.5;;113.5;32.9;
2020-2021;POITIERS;16;CHARENTE;0160048R;LYCEE PROFESSIONNEL PIERRE ANDRE CHABANNE LYCEE DES METIERS DES SERVICES A LA PERSONNE ET AUX ENTREPRISES;16085;CHASSENEUIL SUR BONNIEURE;public;LP;;85.6;85.6;;28.7
2020-2021;POITIERS;16;CHARENTE;0160049S;LYCEE PROFESSIONNEL JEAN ROSTAND LYCEE DES METIERS DE LA MODE ET DES SERVICES;16015;ANGOULEME;public;LP;;83.6;83.6;;30.4
2020-2021;POITIERS;16;CHARENTE;0161003D;LYCEE PROFESSIONNEL LOUISE MICHEL;16292;RUFFEC;public;LP;;89.4;89.4;;32.3
2020-2021;POITIERS;16;CHARENTE;0161133V;LYCEE PROFESSIONNEL PRIVE SAINTE MARTHE CHAVAGNES;16015;ANGOULEME;privé sous contrat;LP;;92.9;92.9;;34.2
2020-2021;POITIERS;17;CHARENTE-MARITIME;0170020E;LYCEE POLYVALENT EMILE COMBES LYCEE DES METIERS DE L ECO CONSTRUCTION ET DE LA DECONSTRUCTION;17283;PONS;public;LPO;106.7;87.3;100.1;33.5;27.6
2020-2021;POITIERS;17;CHARENTE-MARITIME;0170029P;LYCEE GENERAL ET TECHNOLOGIQUE LEONCE VIELJEUX;17300;LA ROCHELLE;public;LEGT;120.9;;120.9;32.3;
2020-2021;ORLEANS-TOURS;18;CHER;0180024D;LYCEE GENERAL ET TECHNOLOGIQUE JEAN MOULIN;18197;SAINT AMAND MONTROND;public;LEGT;104.9;;104.9;33.2;
2020-2021;ORLEANS-TOURS;18;CHER;0180035R;LYCEE POLYVALENT EDOUARD VAILLANT;18279;VIERZON;public;LPO;101.3;79.1;94.8;34.0;27.9
2020-2021;ORLEANS-TOURS;18;CHER;0180042Y;LYCEE PROFESSIONNEL JACQUES COEUR;18033;BOURGES;public;LP;;92.4;92.4;;32.5
2020-2021;ORLEANS-TOURS;18;CHER;0180571Y;LYCEE POLYVALENT PRIVE ST JEAN BAPTISTE DE LA SALLE;18033;BOURGES;privé sous contrat;LP;;87.9;87.9;;34.5
2020-2021;LIMOGES;19;CORREZE;0190018S;LPO PUBLIC PIERRE CARAMINOT LYCEE DES METIERS DU GENIE CIVIL;19073;EGLETONS;public;LPO;111.5;98.7;107.8;34.2;31.1
2020-2021;LIMOGES;19;CORREZE;0190032G;LYCEE GENERAL ET TECHNOLOGIQUE EDMOND PERRIER;19272;TULLE;public;LEGT;117.8;;117.8;33.2;
2020-2021;LIMOGES;19;CORREZE;0190034J;LYCEE PROFESSIONNEL RENE CASSIN;19272;TULLE;public;LP;;90.6;90.6;;30.8
2020-2021;LIMOGES;19;CORREZE;0190038N;LYCEE GENERAL ET TECHNOLOGIQUE BERNART DE VENTADOUR;19275;USSEL;public;LEGT;105.0;;105.0;31.0;
2020-2021;LIMOGES;19;CORREZE;0190674E;LYCEE PROFESSIONNEL REGIONAL BERNART DE VENTADOUR;19275;USSEL;public;LP;;89.5;89.5;;27.8
2020-2021;DIJON;21;COTE D'OR;0210006T;LYCEE POLYVALENT CLOS MAIRE;21054;BEAUNE;public;LPO;117.0;93.1;113.3;32.8;26.4
2020-2021;DIJON;21;COTE D'OR;0210012Z;LYCEE GENERAL ET TECHNOLOGIQUE STEPHEN LIEGEARD;21110;BROCHON;public;LEGT;118.3;;118.3;34.3;
2020-2021;DIJON;21;COTE D'OR;0210019G;LYCEE POLYVALENT LE CASTEL;21231;DIJON;public;LPO;100.8;89.3;97.1;36.8;31.8
2020-2021;DIJON;21;COTE D'OR;0211089V;LYCEE POLYVALENT SAINT JOSEPH LA SALLE;21231;DIJON;privé sous contrat;LPO;128.9;112.0;122.9;32.7;32.5
2020-2021;DIJON;21;COTE D'OR;0212015B;LYCEE POLYVALENT SIMONE WEIL;21231;DIJON;public;LPO;100.6;84.2;89.0;31.5;27.8
2020-2021;RENNES;22;COTES D'ARMOR;0220023F;LYCEE GENERAL ET TECHNOLOGIQUE FELIX LE DANTEC;22113;LANNION;public;LEGT;127.5;;127.5;34.9;
2020-2021;RENNES;22;COTES D'ARMOR;0220059V;LYCEE PROFESSIONNEL JEAN MOULIN;22278;SAINT BRIEUC;public;LP;;79.2;79.2;;26.8
2020-2021;RENNES;22;COTES D'ARMOR;0220072J;LYCEE PROFESSIONNEL JOSEPH SAVINA;22362;TREGUIER;public;LP;;95.3;95.3;;32.8
