id;date;code_insee_region;region;tmin;tmax;tmoy
2018-02-21T00:00:00-27;2018-02-21;27;Bourgogne-Franche-Comté;-1.65;5.4;1.88
2018-02-21T00:00:00-93;2018-02-21;93;Provence-Alpes-Côte d'Azur;1.45;9.25;5.35
2018-02-21T00:00:00-44;2018-02-21;44;Grand Est;-2.74;4.96;1.11
2018-02-21T00:00:00-84;2018-02-21;84;Auvergne-Rhône-Alpes;-1.83;3.68;0.93
2018-02-22T00:00:00-84;2018-02-22;84;Auvergne-Rhône-Alpes;-1.62;2.15;0.26
2018-02-22T00:00:00-76;2018-02-22;76;Occitanie;0.12;6.24;3.18
2018-02-23T00:00:00-52;2018-02-23;52;Pays de la Loire;-1.8;5.35;1.78
2018-02-23T00:00:00-75;2018-02-23;75;Nouvelle-Aquitaine;-1.88;5.12;1.62
2018-02-24T00:00:00-52;2018-02-24;52;Pays de la Loire;-2.2;5.75;1.78
2018-02-24T00:00:00-93;2018-02-24;93;Provence-Alpes-Côte d'Azur;3.52;10.1;6.81
2018-02-25T00:00:00-52;2018-02-25;52;Pays de la Loire;-1.25;5.75;2.25
2018-02-26T00:00:00-93;2018-02-26;93;Provence-Alpes-Côte d'Azur;-2.17;3.53;0.68
2018-02-27T00:00:00-27;2018-02-27;27;Bourgogne-Franche-Comté;-9.28;-1.85;-5.57
2018-02-27T00:00:00-52;2018-02-27;52;Pays de la Loire;-5.7;0.75;-2.47
2018-02-27T00:00:00-84;2018-02-27;84;Auvergne-Rhône-Alpes;-10.5;-2.28;-6.39
2018-02-27T00:00:00-76;2018-02-27;76;Occitanie;-7.43;2.64;-2.4
2018-02-28T00:00:00-93;2018-02-28;93;Provence-Alpes-Côte d'Azur;-3.55;3.62;0.03
2018-02-28T00:00:00-52;2018-02-28;52;Pays de la Loire;-7.6;-0.25;-3.92
2018-02-28T00:00:00-94;2018-02-28;94;Corse;0.3;10.35;5.32
2018-03-01T00:00:00-52;2018-03-01;52;Pays de la Loire;-3.15;6.95;1.9
2018-03-01T00:00:00-28;2018-03-01;28;Normandie;-4.6;1.28;-1.66
2018-03-01T00:00:00-11;2018-03-01;11;Île-de-France;-4.8;2.54;-1.13
2018-03-01T00:00:00-24;2018-03-01;24;Centre-Val de Loire;-3.12;8.13;2.51
2018-03-02T00:00:00-11;2018-03-02;11;Île-de-France;0.6;9.4;5.0
2018-03-02T00:00:00-93;2018-03-02;93;Provence-Alpes-Côte d'Azur;3.08;12.03;7.56
2018-03-03T00:00:00-94;2018-03-03;94;Corse;5.7;16.05;10.88
2018-03-03T00:00:00-52;2018-03-03;52;Pays de la Loire;2.65;13.55;8.1
2018-03-04T00:00:00-27;2018-03-04;27;Bourgogne-Franche-Comté;0.82;12.6;6.71
2018-03-04T00:00:00-53;2018-03-04;53;Bretagne;5.38;11.85;8.61
2018-03-04T00:00:00-93;2018-03-04;93;Provence-Alpes-Côte d'Azur;3.48;12.18;7.83
2018-03-04T00:00:00-24;2018-03-04;24;Centre-Val de Loire;2.77;10.02;6.39
2018-03-04T00:00:00-52;2018-03-04;52;Pays de la Loire;5.8;11.6;8.7
2018-03-04T00:00:00-76;2018-03-04;76;Occitanie;5.58;12.94;9.26
2018-03-05T00:00:00-75;2018-03-05;75;Nouvelle-Aquitaine;5.16;14.01;9.59
2018-03-05T00:00:00-52;2018-03-05;52;Pays de la Loire;3.65;13.2;8.42
2018-03-06T00:00:00-11;2018-03-06;11;Île-de-France;4.9;11.74;8.32
2018-03-06T00:00:00-27;2018-03-06;27;Bourgogne-Franche-Comté;4.17;10.72;7.44
2018-03-06T00:00:00-32;2018-03-06;32;Hauts-de-France;3.8;10.42;7.11
2018-03-06T00:00:00-75;2018-03-06;75;Nouvelle-Aquitaine;4.36;12.92;8.64
2018-03-07T00:00:00-75;2018-03-07;75;Nouvelle-Aquitaine;4.76;12.22;8.49
2018-03-07T00:00:00-27;2018-03-07;27;Bourgogne-Franche-Comté;2.62;10.77;6.69
2018-03-07T00:00:00-24;2018-03-07;24;Centre-Val de Loire;4.38;11.12;7.75
2018-03-08T00:00:00-76;2018-03-08;76;Occitanie;1.15;15.28;8.22
2018-03-08T00:00:00-52;2018-03-08;52;Pays de la Loire;4.8;14.2;9.5
2018-03-08T00:00:00-11;2018-03-08;11;Île-de-France;3.18;10.44;6.81
2018-03-09T00:00:00-27;2018-03-09;27;Bourgogne-Franche-Comté;5.28;16.48;10.88
2018-03-09T00:00:00-93;2018-03-09;93;Provence-Alpes-Côte d'Azur;3.77;15.53;9.65
2018-03-09T00:00:00-76;2018-03-09;76;Occitanie;5.76;15.5;10.63
2018-03-09T00:00:00-32;2018-03-09;32;Hauts-de-France;2.74;11.52;7.13
2018-03-09T00:00:00-94;2018-03-09;94;Corse;5.95;16.1;11.02
2018-03-09T00:00:00-53;2018-03-09;53;Bretagne;7.35;13.53;10.44
2018-03-10T00:00:00-24;2018-03-10;24;Centre-Val de Loire;10.4;19.18;14.79
2020-06-28T00:00:00-44;2020-06-28;44;Grand Est;15.86;22.41;19.14
2020-06-29T00:00:00-28;2020-06-29;28;Normandie;11.06;19.9;15.48
2020-06-29T00:00:00-84;2020-06-29;84;Auvergne-Rhône-Alpes;16.52;26.35;21.43
2020-06-29T00:00:00-76;2020-06-29;76;Occitanie;18.97;25.03;22.0
2020-06-30T00:00:00-93;2020-06-30;93;Provence-Alpes-Côte d'Azur;18.62;30.1;24.36
2020-06-30T00:00:00-44;2020-06-30;44;Grand Est;11.48;23.61;17.54
2020-07-01T00:00:00-75;2020-07-01;75;Nouvelle-Aquitaine;16.19;23.39;19.79
2020-07-01T00:00:00-32;2020-07-01;32;Hauts-de-France;15.68;20.36;18.02
2020-07-02T00:00:00-94;2020-07-02;94;Corse;19.5;29.0;24.25
2020-07-02T00:00:00-75;2020-07-02;75;Nouvelle-Aquitaine;16.05;21.14;18.6
2020-07-02T00:00:00-27;2020-07-02;27;Bourgogne-Franche-Comté;17.12;23.85;20.48
2020-07-03T00:00:00-76;2020-07-03;76;Occitanie;14.43;24.12;19.27
2020-07-03T00:00:00-27;2020-07-03;27;Bourgogne-Franche-Comté;13.35;24.08;18.72
2020-07-03T00:00:00-44;2020-07-03;44;Grand Est;11.05;23.46;17.26
2020-07-04T00:00:00-11;2020-07-04;11;Île-de-France;13.6;23.64;18.62
2020-07-04T00:00:00-52;2020-07-04;52;Pays de la Loire;13.25;20.65;16.95
2020-07-05T00:00:00-52;2020-07-05;52;Pays de la Loire;16.95;23.5;20.22
2020-07-05T00:00:00-28;2020-07-05;28;Normandie;16.52;21.14;18.83
2020-07-06T00:00:00-93;2020-07-06;93;Provence-Alpes-Côte d'Azur;20.58;30.92;25.75
2020-07-06T00:00:00-27;2020-07-06;27;Bourgogne-Franche-Comté;15.98;23.13;19.56
2020-07-06T00:00:00-53;2020-07-06;53;Bretagne;9.95;19.9;14.92
2020-07-07T00:00:00-28;2020-07-07;28;Normandie;7.88;22.26;15.07
2020-07-07T00:00:00-32;2020-07-07;32;Hauts-de-France;9.02;21.82;15.42
2020-07-07T00:00:00-93;2020-07-07;93;Provence-Alpes-Côte d'Azur;17.7;30.2;23.95
2020-07-08T00:00:00-52;2020-07-08;52;Pays de la Loire;10.85;28.05;19.45
2020-07-09T00:00:00-28;2020-07-09;28;Normandie;13.96;27.0;20.48
2020-07-11T00:00:00-44;2020-07-11;44;Grand Est;11.44;23.55;17.49
