STATUT,INSEE_COM,NOM_COM,INSEE_ARR,NOM_DEP,INSEE_DEP,NOM_REG,INSEE_REG,CODE_EPCI,NOM_COM_M,Prixm2
Commune simple,"83035",Le Castellet,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300394",LE CASTELLET,"3029"
Commune simple,"13028",La Ciotat,"3",BOUCHES-DU-RHONE,"13",PROVENCE-ALPES-COTE D'AZUR,"93","200054807",LA CIOTAT,"3998"
Commune simple,"83103",Le Revest-les-Eaux,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300543",LE REVEST-LES-EAUX,"2742"
Commune simple,"83129",Six-Fours-les-Plages,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300543",SIX-FOURS-LES-PLAGES,"3792"
Commune simple,"32364",Saint-Avit-Frandat,"2",GERS,"32",OCCITANIE,"76","243200391",SAINT-AVIT-FRANDAT,
Préfecture,"83137",Toulon,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300543",TOULON,"2445"
Commune simple,"83153",Saint-Mandrier-sur-Mer,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300543",SAINT-MANDRIER-SUR-MER,
Commune simple,"83009",Bandol,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300394",BANDOL,"4976"
Commune simple,"83062",La Garde,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300543",LA GARDE,"2992"
Commune simple,"13023",Ceyreste,"3",BOUCHES-DU-RHONE,"13",PROVENCE-ALPES-COTE D'AZUR,"93","200054807",CEYRESTE,"3330"
Commune simple,"83126",La Seyne-sur-Mer,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300543",LA SEYNE-SUR-MER,"2916"
Commune simple,"83090",Ollioules,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300543",OLLIOULES,"2904"
Commune simple,"83017",Belgentier,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300410",BELGENTIER,"2432"
Commune simple,"83027",La Cadière-d'Azur,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300394",LA CADIERE-D'AZUR,"3007"
Commune simple,"83053",Évenos,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300394",EVENOS,"2406"
Commune simple,"32366",Saint-Brès,"2",GERS,"32",OCCITANIE,"76","200034726",SAINT-BRES,
Commune simple,"83131",Solliès-Toucas,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300410",SOLLIES-TOUCAS,"2580"
Commune simple,"83144",La Valette-du-Var,"2",VAR,"83",PROVENCE-ALPES-COTE D'AZUR,"93","248300543",LA VALETTE-DU-VAR,"2784"
Commune simple,"32142",Gavarret-sur-Aulouste,"2",GERS,"32",OCCITANIE,"76","243200391",GAVARRET-SUR-AULOUSTE,"1731"
Commune simple,"82106",Maubec,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",MAUBEC,"1965"
Commune simple,"32255",Miramont-Latour,"2",GERS,"32",OCCITANIE,"76","243200391",MIRAMONT-LATOUR,"821"
Commune simple,"32329",Préchac,"2",GERS,"32",OCCITANIE,"76","243200391",PRECHAC,"1099"
Commune simple,"32150",Goutz,"2",GERS,"32",OCCITANIE,"76","243200391",GOUTZ,"1437"
Commune simple,"32184",Lalanne,"2",GERS,"32",OCCITANIE,"76","243200391",LALANNE,
Commune simple,"32337",Puységur,"2",GERS,"32",OCCITANIE,"76","243200391",PUYSEGUR,
Commune simple,"32269",Monfort,"2",GERS,"32",OCCITANIE,"76","200034726",MONFORT,"1062"
Commune simple,"32436",Solomiac,"2",GERS,"32",OCCITANIE,"76","200034726",SOLOMIAC,"1077"
Commune simple,"32102",Cézan,"2",GERS,"32",OCCITANIE,"76","243200391",CEZAN,"2792"
Commune simple,"32376",Sainte-Gemme,"2",GERS,"32",OCCITANIE,"76","200034726",SAINTE-GEMME,"2787"
Commune simple,"32232",Maravat,"2",GERS,"32",OCCITANIE,"76","200034726",MARAVAT,
Commune simple,"32154",Homps,"2",GERS,"32",OCCITANIE,"76","200034726",HOMPS,
Commune simple,"32101",Céran,"2",GERS,"32",OCCITANIE,"76","243200391",CERAN,"1276"
Commune simple,"32286",Montestruc-sur-Gers,"2",GERS,"32",OCCITANIE,"76","243200391",MONTESTRUC-SUR-GERS,"1120"
Commune simple,"32173",Labrihe,"2",GERS,"32",OCCITANIE,"76","200034726",LABRIHE,"750"
Commune simple,"32026",Bajonnette,"2",GERS,"32",OCCITANIE,"76","200034726",BAJONNETTE,"1500"
Commune simple,"32341",Réjaumont,"2",GERS,"32",OCCITANIE,"76","243200391",REJAUMONT,"1227"
Commune simple,"32416",Sarrant,"2",GERS,"32",OCCITANIE,"76","200034726",SARRANT,"1356"
Commune simple,"32457",Urdens,"2",GERS,"32",OCCITANIE,"76","243200391",URDENS,"1352"
Commune simple,"82065",Gasques,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",GASQUES,"1297"
Commune simple,"82158",Saint-Cirice,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",SAINT-CIRICE,"957"
Commune simple,"82107",Maumusson,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",MAUMUSSON,
Commune simple,"82072",Golfech,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",GOLFECH,"1305"
Commune simple,"82055",Esparsac,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",ESPARSAC,
Commune simple,"32241",Mas-d'Auvignon,"2",GERS,"32",OCCITANIE,"76","243200391",MAS-D'AUVIGNON,
Commune simple,"82139",Le Pin,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",LE PIN,"1136"
Commune simple,"33292",Montignac,"3",GIRONDE,"33",NOUVELLE-AQUITAINE,"75","200069599",MONTIGNAC,
Commune simple,"82097",Lavit,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",LAVIT,"1001"
Commune simple,"82104",Marsac,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",MARSAC,"622"
Commune simple,"32131",Flamarens,"2",GERS,"32",OCCITANIE,"76","243200391",FLAMARENS,"802"
Commune simple,"32196",Larroque-Saint-Sernin,"2",GERS,"32",OCCITANIE,"76","243200417",LARROQUE-SAINT-SERNIN,"1357"
Commune simple,"32306",Pauilhac,"2",GERS,"32",OCCITANIE,"76","243200391",PAUILHAC,"1167"
Commune simple,"82103",Marignac,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",MARIGNAC,
Commune simple,"82068",Gimat,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",GIMAT,"756"
Commune simple,"82070",Glatens,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200065",GLATENS,"1750"
Commune simple,"82010",Bardigues,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",BARDIGUES,"884"
Commune simple,"82049",Donzac,"1",TARN-ET-GARONNE,"82",OCCITANIE,"76","248200016",DONZAC,"995"
Commune simple,"32442",Terraube,"2",GERS,"32",OCCITANIE,"76","243200391",TERRAUBE,"1081"
Commune simple,"32132",Fleurance,"2",GERS,"32",OCCITANIE,"76","243200391",FLEURANCE,"1191"
