code_uic;libelle;fret;voyageurs;code_ligne;rg_troncon;pk;commune;departemen;idreseau;idgaia;x_l93;y_l93;x_wgs84;y_wgs84;c_geo;geo_point_2d;geo_shape
87184507;Héricourt;O;O;852000;1;491+676;HERICOURT;HAUTE-SAONE;4440;d98735e2-6667-11e3-89ff-01f464e0362d;983276.3718999997;6725932.989;6.769379068466185;47.572909400117844;47.572909400117844,6.769379068466185;47.57290939914966,6.769379068466186;"{""coordinates"": [6.769379068466186, 47.57290939914966], ""type"": ""Point""}"
87313122;Longpré-les-Corps-Saints;N;O;322000;1;044+092;LONGPRÉ-LES-CORPS-SAINTS;SOMME;5211;d96b875a-6667-11e3-89ff-01f464e0362d;628474.7287999988;6990764.5396;2.0030602251416;50.01129941626449;50.01129941626449,2.0030602251416;50.011299415319435,2.003060225141599;"{""coordinates"": [2.003060225141599, 50.011299415319435], ""type"": ""Point""}"
87718577;Gilley;N;O;872000;1;460+263;GILLEY;DOUBS;4309;2972fb06-dfbc-11e3-a2ff-01a464e0362d;965050.434299998;6666982.316599999;6.492516253612154;47.05031863967397;47.05031863967397,6.492516253612154;47.05031863871957,6.4925162536121555;"{""coordinates"": [6.492516253612155, 47.05031863871957], ""type"": ""Point""}"
87713081;Verrey;N;O;830000;1;278+401;VERREY-SOUS-SALMAISE;COTE-D'OR;7166;29b56712-dfbc-11e3-a2ff-01a464e0362d;825833.9826999977;6705617.2689;4.669695716554869;47.4389336024192;47.4389336024192,4.669695716554869;47.4389336014499,4.6696957165548705;"{""coordinates"": [4.66969571655487, 47.4389336014499], ""type"": ""Point""}"
87345413;Cantin;N;O;259000;2;215+709;CANTIN;NORD;3474;d9da4b5c-6667-11e3-89ff-01f464e0362d;708683.6534999982;7023849.783500001;3.121752682520115;50.31240554714561;50.31240554714561,3.1217526825201145;50.31240554620371,3.121752682520113;"{""coordinates"": [3.121752682520113, 50.31240554620371], ""type"": ""Point""}"
87343525;Lecelles;O;N;257000;1;036+804;LECELLES;NORD;5027;e53da158-6667-11e3-a7ff-01f464e0362d;728706.2868999988;7041057.5669;3.403718496274773;50.466288242717546;50.466288242717546,3.4037184962747733;50.466288241777306,3.403718496274773;"{""coordinates"": [3.403718496274773, 50.466288241777306], ""type"": ""Point""}"
87545251;Athis-Mons;N;O;570000;1;016+045;ATHIS-MONS;ESSONNE;2964;e0190972-19bf-11e5-82ff-01fc64e0362d;656007.998999998;6845846.207400002;2.402101452555594;48.71125468767963;48.71125468767963,2.4021014525555944;48.711254686721674,2.402101452555593;"{""coordinates"": [2.402101452555593, 48.711254686721674], ""type"": ""Point""}"
87586446;Trentels-Ladignac;N;O;631000;1;615+549;TRENTELS;LOT-ET-GARONNE;7034;29dae6ba-dfbc-11e3-a2ff-01a464e0362d;531704.8077000007;6373800.723299999;0.885032688721147;44.442969849702706;44.442969849702706,0.8850326887211468;44.442969848738514,0.8850326887211449;"{""coordinates"": [0.885032688721145, 44.442969848738514], ""type"": ""Point""}"
87583005;Angoulême;O;O;570000;3;449+384;ANGOULEME;CHARENTE;2890;e125c7fe-19bf-11e5-a6ff-01fc64e0362d;479190.94680000097;6509976.142499998;0.16414524722233;45.65364279345685;45.65364279345685,0.16414524722232987;45.65364279249614,0.16414524722232784;"{""coordinates"": [0.164145247222328, 45.65364279249614], ""type"": ""Point""}"
87212027;Strasbourg-Ville;O;O;110000;1;000+000;STRASBOURG;BAS-RHIN;6900;c0203502-f312-11e3-90ff-015864e0362d;1048789.6657999977;6841859.7652;7.731594953278417;48.58287025491014;48.58287025491014,7.731594953278417;48.58287025395099,7.731594953278422;"{""coordinates"": [7.731594953278422, 48.58287025395099], ""type"": ""Point""}"
87712265;Bretigny-Norges;N;O;849000;1;330+951;BRETIGNY;COTE-D'OR;3385;e181df5c-19bf-11e5-a6ff-01fc64e0362d;859176.855899997;6700962.081900001;5.11028436975937;47.38985612266316;47.38985612266316,5.11028436975937;47.389856121693434,5.110284369759371;"{""coordinates"": [5.110284369759371, 47.389856121693434], ""type"": ""Point""}"
87753657;Arles;O;O;830000;1;776+362;ARLES;BOUCHES-DU-RHONE;2931;29555580-dfbc-11e3-a2ff-01a464e0362d;831657.2386000007;6288546.594799999;4.632541582258205;43.68370505409543;43.68370505409543,4.632541582258205;43.683705053130055,4.632541582258206;"{""coordinates"": [4.632541582258206, 43.683705053130055], ""type"": ""Point""}"
87611152;Montréjeau-Gourdan-Polignan;O;O;650000;1;103+877;GOURDAN-POLIGNAN;HAUTE-GARONNE;5646;c022fe9e-f312-11e3-90ff-015864e0362d;502238.6023000032;6222907.873199999;0.573211731271617;43.078110601964326;43.078110601964326,0.5732117312716167;43.07811060099861,0.573211731271615;"{""coordinates"": [0.573211731271615, 43.07811060099861], ""type"": ""Point""}"
87142026;Bricon;O;N;840000;1;000+000;BRICON;HAUTE-MARNE;3397;298a2c66-dfbc-11e3-a2ff-01a464e0362d;847343.8716999963;6778177.8522000015;4.979128788961917;48.08735674665791;48.08735674665791,4.979128788961917;48.08735674569423,4.979128788961917;"{""coordinates"": [4.979128788961917, 48.08735674569423], ""type"": ""Point""}"
87213256;Niederbronn-les-Bains;O;O;159000;1;021+425;NIEDERBRONN-LES-BAINS;BAS-RHIN;5787;29163e30-dfbc-11e3-a2ff-01a464e0362d;1039176.8989000022;6882441.820999999;7.633761577554735;48.952343834316274;48.952343834316274,7.6337615775547345;48.95234383336063,7.633761577554739;"{""coordinates"": [7.633761577554739, 48.95234383336063], ""type"": ""Point""}"
87271536;Dammartin-Juilly-St-Mard;O;O;229000;1;034+261;SAINT-MARD;SEINE-ET-MARNE;3916;2908b4d8-dfbc-11e3-a2ff-01a464e0362d;677996.6230000034;6881395.348099999;2.69910507004734;49.0320715615886;49.0320715615886,2.6991050700473402;49.032071560633725,2.699105070047339;"{""coordinates"": [2.699105070047339, 49.032071560633725], ""type"": ""Point""}"
87313247;Breteuil-Embranchement;O;O;272000;1;094+852;BACOUËL;OISE;3380;c0a1875c-f312-11e3-90ff-015864e0362d;655487.1797999963;6947675.324200001;2.384230934090904;49.62668016310979;49.62668016310979,2.3842309340909043;49.62668016216081,2.3842309340909034;"{""coordinates"": [2.384230934090903, 49.62668016216081], ""type"": ""Point""}"
87317305;Les Fontinettes;N;O;295000;1;104+791;CALAIS;PAS-DE-CALAIS;5074;e1b83a6a-19bf-11e5-a6ff-01fc64e0362d;618999.1643000022;7094430.315699998;1.849961409941935;50.94058380754782;50.94058380754782,1.8499614099419353;50.94058380661274,1.8499614099419337;"{""coordinates"": [1.849961409941934, 50.94058380661274], ""type"": ""Point""}"
87296459;Appilly;N;O;242000;1;115+272;APPILLY;OISE;2910;2946b6f6-dfbc-11e3-a2ff-01a464e0362d;708753.0148999989;6942381.220800001;3.120975177416343;49.580604880191174;49.580604880191174,3.1209751774163426;49.580604879241704,3.120975177416342;"{""coordinates"": [3.120975177416342, 49.580604879241704], ""type"": ""Point""}"
87415646;St-Pierre-du-Vauvray;O;O;376000;1;106+730;SAINT-PIERRE-DU-VAUVRAY;EURE;6640;d9e442c8-6667-11e3-89ff-01f464e0362d;570681.8647999987;6905302.469999999;1.224520268806071;49.23432189742478;49.23432189742478,1.2245202688060708;49.23432189647187,1.2245202688060688;"{""coordinates"": [1.224520268806069, 49.23432189647187], ""type"": ""Point""}"
87297523;Hachette;N;O;242000;1;207+038;LOCQUIGNOL;NORD;4395;c07e06e6-f312-11e3-90ff-015864e0362d;753168.125;7006919.876200002;3.743209619904144;50.15820001748976;50.15820001748976,3.743209619904144;50.15820001654626,3.743209619904143;"{""coordinates"": [3.743209619904143, 50.15820001654626], ""type"": ""Point""}"
87192302;Bénestroff;N;O;097000;1;056+092;BÉNESTROFF;MOSELLE;3180;294dd0ac-dfbc-11e3-a2ff-01a464e0362d;974831.8104000017;6873883.1063;6.750621173901005;48.9061919533545;48.9061919533545,6.7506211739010045;48.90619195239841,6.750621173901006;"{""coordinates"": [6.750621173901006, 48.90619195239841], ""type"": ""Point""}"
87313841;Fouilloy;N;O;321000;1;044+054;FOUILLOY;OISE;4211;29c77d06-dfbc-11e3-a2ff-01a464e0362d;615280.8853999972;6960344.621300001;1.82549203212016;49.73641873820521;49.73641873820521,1.82549203212016;49.73641873725734,1.8254920321201586;"{""coordinates"": [1.825492032120159, 49.73641873725734], ""type"": ""Point""}"
